date,net_value,equity_return,unit_money
2019-03-12,1.0,0.0,
2019-03-14,0.9999,0.0,
2019-03-21,0.9998,0.0,
2019-03-28,1.003,0.0,
2019-04-03,1.0039,0.0,
2019-04-11,1.0085,0.0,
2019-04-18,1.0093,0.0,
2019-04-21,1.0085,-0.0793,
2019-04-22,1.0115,0.2975,
2019-04-23,1.0115,0.0,
2019-04-24,1.0062,-0.524,
2019-04-25,1.0045,-0.169,
2019-04-28,1.0075,0.2987,
2019-04-29,1.0093,0.1787,
2019-05-05,0.9968,-1.2385,
2019-05-06,1.0028,0.6019,
2019-05-07,0.9987,-0.4089,
2019-05-08,0.9873,-1.1415,
2019-05-09,1.0004,1.3269,
2019-05-12,1.0016,0.12,
2019-05-13,0.9951,-0.649,
2019-05-14,1.006,1.0954,
2019-05-15,1.0083,0.2286,
2019-05-16,1.001,-0.724,
2019-05-19,0.9921,-0.8891,
2019-05-20,0.9916,-0.0504,
2019-05-21,0.9912,-0.0403,
2019-05-22,0.9851,-0.6154,
2019-05-23,0.9883,0.3248,
2019-05-26,0.9882,-0.0101,
2019-05-27,0.9933,0.5161,
2019-05-28,0.9934,0.0101,
2019-05-29,0.9923,-0.1107,
2019-05-30,0.9912,-0.1109,
2019-06-02,0.9927,0.1513,
2019-06-03,0.9857,-0.7051,
2019-06-04,0.9873,0.1623,
2019-06-05,0.9875,0.0203,
2019-06-09,0.9984,1.1038,
2019-06-10,1.007,0.8614,
2019-06-11,1.003,-0.3972,
2019-06-12,1.0036,0.0598,
2019-06-13,1.0003,-0.3288,
2019-06-16,0.9977,-0.2599,
2019-06-17,0.9989,0.1203,
2019-06-18,1.0066,0.7708,
2019-06-19,1.0154,0.8742,
2019-06-20,1.0093,-0.6007,
2019-06-23,1.0109,0.1585,
2019-06-24,1.0078,-0.3067,
2019-06-25,1.0088,0.0992,
2019-06-26,1.0181,0.9219,
2019-06-27,1.0172,-0.0884,
2019-06-29,1.0171,0.0,
2019-06-30,1.026,0.8651,
2019-07-01,1.0331,0.692,
2019-07-02,1.0277,-0.5227,
2019-07-03,1.0263,-0.1362,
2019-07-04,1.0335,0.7015,
2019-07-07,1.0247,-0.8515,
2019-07-08,1.0211,-0.3513,
2019-07-09,1.0253,0.4113,
2019-07-10,1.0237,-0.1561,
2019-07-11,1.0219,-0.1758,
2019-07-14,1.022,0.0098,
2019-07-15,1.0208,-0.1174,
2019-07-16,1.0196,-0.1176,
2019-07-17,1.0176,-0.1962,
2019-07-18,1.0226,0.4914,
2019-07-21,1.0214,-0.1173,
2019-07-22,1.021,-0.0392,
2019-07-23,1.0208,-0.0196,
2019-07-24,1.0274,0.6466,
2019-07-25,1.0232,-0.4088,
2019-07-28,1.0272,0.3909,
2019-07-29,1.0276,0.0389,
2019-07-30,1.0188,-0.8564,
2019-07-31,1.014,-0.4711,
2019-08-01,1.0003,-1.3511,
2019-08-04,0.9849,-1.5395,
2019-08-05,0.9889,0.4061,
2019-08-06,0.9945,0.5663,
2019-08-07,1.0033,0.8849,
2019-08-08,1.0017,-0.1595,
2019-08-11,1.0071,0.5391,
2019-08-12,1.0,-0.705,
2019-08-13,1.0051,0.51,
2019-08-14,1.0016,-0.3482,
2019-08-15,1.0165,1.4876,
2019-08-18,1.0269,1.0231,
2019-08-19,1.0377,1.0517,
2019-08-20,1.0395,0.1735,
2019-08-21,1.0428,0.3175,
2019-08-22,1.053,0.9781,
2019-08-25,1.0276,-2.4122,
2019-08-26,1.0383,1.0413,
2019-08-27,1.0348,-0.3371,
2019-08-28,1.0439,0.8794,
2019-08-29,1.0476,0.3544,
2019-09-01,1.0481,0.0477,
2019-09-02,1.0418,-0.6011,
2019-09-03,1.0503,0.8159,
2019-09-04,1.0546,0.4094,
2019-09-05,1.0538,-0.0759,
2019-09-08,1.0534,-0.038,
2019-09-09,1.0475,-0.5601,
2019-09-10,1.0432,-0.4105,
2019-09-11,1.0509,0.7381,
2019-09-15,1.0563,0.5138,
2019-09-16,1.0533,-0.284,
2019-09-17,1.0566,0.3133,
2019-09-18,1.0501,-0.6152,
