date,net_value,equity_return,unit_money
2021-01-21,1.0,0.0,
2021-01-28,0.9918,0.0,
2021-02-04,1.005,0.0,
2021-02-09,1.0254,0.0,
2021-02-18,1.0114,0.0,
2021-02-21,0.9954,-1.58,
2021-02-22,0.9948,-0.06,
2021-02-23,0.9845,-1.04,
2021-02-24,0.9836,-0.09,
2021-02-25,0.9756,-0.81,
2021-02-28,0.9837,0.83,
2021-03-01,0.9785,-0.53,
2021-03-02,0.9852,0.68,
2021-03-03,0.9735,-1.19,
2021-03-04,0.9731,-0.04,
2021-03-07,0.9605,-1.29,
2021-03-08,0.9589,-0.17,
2021-03-09,0.9632,0.45,
2021-03-10,0.9706,0.77,
2021-03-11,0.9638,-0.7,
2021-03-14,0.9554,-0.87,
2021-03-15,0.9604,0.52,
2021-03-16,0.9628,0.25,
2021-03-17,0.9684,0.58,
2021-03-18,0.9624,-0.62,
2021-03-21,0.9625,0.01,
2021-03-22,0.9588,-0.38,
2021-03-23,0.9555,-0.34,
2021-03-24,0.9543,-0.13,
2021-03-25,0.9631,0.92,
2021-03-28,0.9612,-0.2,
2021-03-29,0.9665,0.55,
2021-03-30,0.9644,-0.22,
2021-03-31,0.9789,1.5,
2021-04-01,0.9853,0.65,
2021-04-05,0.9809,-0.45,
2021-04-06,0.9699,-1.12,
2021-04-07,0.9743,0.45,
2021-04-08,0.9667,-0.78,
2021-04-11,0.959,-0.8,
2021-04-12,0.9577,-0.14,
2021-04-13,0.9645,0.71,
2021-04-14,0.9607,-0.39,
2021-04-15,0.963,0.24,
2021-04-18,0.9698,0.71,
2021-04-19,0.9704,0.06,
2021-04-20,0.9695,-0.09,
2021-04-21,0.9737,0.43,
2021-04-22,0.9837,1.03,
2021-04-25,0.9765,-0.73,
2021-04-26,0.9822,0.58,
2021-04-27,0.9882,0.61,
2021-04-28,0.9879,-0.03,
2021-04-29,0.9866,-0.13,
2021-05-05,0.9829,-0.38,
2021-05-06,0.9645,-1.87,
2021-05-09,0.9616,-0.3,
2021-05-10,0.9626,0.1,
2021-05-11,0.9704,0.81,
2021-05-12,0.9675,-0.3,
2021-05-13,0.9752,0.8,
2021-05-16,0.9862,1.13,
2021-05-17,0.9875,0.13,
2021-05-18,0.9853,-0.22,
2021-05-19,0.9909,0.57,
2021-05-20,0.9852,-0.58,
2021-05-23,0.9891,0.4,
2021-05-24,1.015,2.62,
2021-05-25,1.012,-0.3,
2021-05-26,1.0114,-0.06,
2021-05-27,1.0063,-0.5,
2021-05-30,1.0184,1.2,
2021-05-31,1.0291,1.05,
2021-06-01,1.016,-1.27,
2021-06-02,1.0069,-0.9,
2021-06-03,1.011,0.41,
2021-06-06,1.0107,-0.03,
2021-06-07,1.0023,-0.83,
2021-06-08,1.0024,0.01,
2021-06-09,1.009,0.66,
2021-06-10,1.0028,-0.61,
2021-06-14,0.9979,-0.49,
2021-06-15,0.979,-1.89,
2021-06-16,0.9875,0.87,
2021-06-17,0.9991,1.17,
2021-06-20,0.9979,-0.12,
2021-06-21,1.0051,0.72,
2021-06-22,1.0078,0.27,
2021-06-23,1.0102,0.24,
2021-06-24,1.0275,1.71,
2021-06-27,1.0363,0.86,
2021-06-28,1.0318,-0.43,
2021-06-29,1.0295,-0.22,
2021-06-30,1.0319,0.23,
2021-07-01,1.0021,-2.89,
2021-07-04,0.9988,-0.33,
2021-07-05,0.9851,-1.37,
2021-07-06,1.0014,1.65,
2021-07-07,0.9834,-1.8,
2021-07-08,0.9887,0.54,
2021-07-11,0.9974,0.88,
2021-07-12,1.0035,0.61,
2021-07-13,1.0117,0.82,
2021-07-14,1.0228,1.1,
2021-07-15,1.0157,-0.69,
2021-07-18,1.0095,-0.61,
2021-07-19,1.0035,-0.59,
2021-07-20,1.0056,0.21,
2021-07-21,1.0007,-0.49,
2021-07-22,0.9745,-2.62,
2021-07-25,0.9244,-5.14,
2021-07-26,0.8784,-4.98,
2021-07-27,0.9019,2.68,
2021-07-28,0.9265,2.73,
2021-07-29,0.906,-2.21,
2021-08-01,0.9167,1.18,
2021-08-02,0.9203,0.39,
2021-08-03,0.9351,1.61,
2021-08-04,0.9222,-1.38,
2021-08-05,0.9075,-1.59,
2021-08-08,0.9052,-0.25,
2021-08-09,0.9218,1.83,
2021-08-10,0.9024,-2.1,
2021-08-11,0.8936,-0.98,
2021-08-12,0.8912,-0.27,
2021-08-15,0.8813,-1.11,
2021-08-16,0.8535,-3.15,
2021-08-17,0.8587,0.61,
2021-08-18,0.8564,-0.27,
2021-08-19,0.8272,-3.41,
2021-08-22,0.8469,2.38,
2021-08-23,0.8719,2.95,
2021-08-24,0.8751,0.37,
2021-08-25,0.8522,-2.62,
2021-08-26,0.8555,0.39,
2021-08-29,0.8662,1.25,
2021-08-30,0.8628,-0.39,
2021-08-31,0.8586,-0.49,
2021-09-01,0.8538,-0.56,
2021-09-02,0.8531,-0.08,
2021-09-05,0.8761,2.7,
2021-09-06,0.8817,0.64,
2021-09-07,0.8763,-0.61,
2021-09-08,0.8656,-1.22,
2021-09-09,0.8733,0.89,
2021-09-12,0.861,-1.41,
2021-09-13,0.8636,0.3,
2021-09-14,0.8522,-1.32,
2021-09-15,0.8412,-1.29,
2021-09-16,0.8661,2.96,
2021-09-21,0.8575,-0.99,
2021-09-22,0.8577,0.02,
2021-09-23,0.8573,-0.05,
2021-09-26,0.8685,1.31,
2021-09-27,0.8677,-0.09,
2021-09-28,0.8599,-0.9,
2021-09-29,0.8688,1.04,
