date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-03,1.8693,1.8693,-0.0154,开放申购,开放赎回,
2025-12-02,1.8986,1.8986,-0.0111,开放申购,开放赎回,
2025-12-01,1.9199,1.9199,0.0113,开放申购,开放赎回,
2025-11-28,1.8984,1.8984,0.011000000000000001,开放申购,开放赎回,
2025-11-27,1.8777,1.8777,0.0032,开放申购,开放赎回,
2025-11-26,1.8717,1.8717,-0.0049,开放申购,开放赎回,
2025-11-25,1.8809,1.8809,0.0163,开放申购,开放赎回,
2025-11-24,1.8508,1.8508,0.0206,开放申购,开放赎回,
2025-11-21,1.8134,1.8134,-0.0333,开放申购,开放赎回,
2025-11-20,1.8758,1.8758,-0.01,开放申购,开放赎回,
2025-11-19,1.8947,1.8947,-0.008,开放申购,开放赎回,
2025-11-18,1.9099,1.9099,-0.0096,开放申购,开放赎回,
2025-11-17,1.9284,1.9284,0.0064,开放申购,开放赎回,
2025-11-14,1.9161,1.9161,-0.0174,开放申购,开放赎回,
2025-11-13,1.95,1.95,0.0168,开放申购,开放赎回,
2025-11-12,1.9178,1.9178,-0.0064,开放申购,开放赎回,
2025-11-11,1.9302,1.9302,-0.0068000000000000005,开放申购,开放赎回,
2025-11-10,1.9434,1.9434,0.0051,开放申购,开放赎回,
2025-11-07,1.9335,1.9335,-0.0011,开放申购,开放赎回,
2025-11-06,1.9356,1.9356,0.0089,开放申购,开放赎回,
2025-11-05,1.9185,1.9185,0.0021,开放申购,开放赎回,
2025-11-04,1.9144,1.9144,-0.0207,开放申购,开放赎回,
2025-11-03,1.9548,1.9548,0.0076,开放申购,开放赎回,
2025-10-31,1.9401,1.9401,0.009399999999999999,开放申购,开放赎回,
2025-10-30,1.9221,1.9221,-0.0125,开放申购,开放赎回,
2025-10-29,1.9465,1.9465,0.011399999999999999,开放申购,开放赎回,
2025-10-28,1.9245,1.9245,-0.0001,开放申购,开放赎回,
2025-10-27,1.9247,1.9247,0.0141,开放申购,开放赎回,
2025-10-24,1.8979,1.8979,0.019299999999999998,开放申购,开放赎回,
2025-10-23,1.8619,1.8619,-0.0004,开放申购,开放赎回,
2025-10-22,1.8627,1.8627,-0.005,开放申购,开放赎回,
2025-10-21,1.8721,1.8721,0.014499999999999999,开放申购,开放赎回,
2025-10-20,1.8454,1.8454,0.011899999999999999,开放申购,开放赎回,
2025-10-17,1.8237,1.8237,-0.0315,开放申购,开放赎回,
2025-10-16,1.883,1.883,-0.0137,开放申购,开放赎回,
2025-10-15,1.9092,1.9092,0.0183,开放申购,开放赎回,
2025-10-14,1.8749,1.8749,-0.024,开放申购,开放赎回,
2025-10-13,1.921,1.921,-0.0034999999999999996,开放申购,开放赎回,
2025-10-10,1.9278,1.9278,-0.0235,开放申购,开放赎回,
2025-10-09,1.9741,1.9741,0.0105,开放申购,开放赎回,
2025-09-30,1.9536,1.9536,0.0125,开放申购,开放赎回,
2025-09-29,1.9295,1.9295,0.0125,开放申购,开放赎回,
2025-09-26,1.9057,1.9057,-0.0233,开放申购,开放赎回,
2025-09-25,1.9512,1.9512,-0.0014000000000000002,开放申购,开放赎回,
2025-09-24,1.9539,1.9539,0.0168,开放申购,开放赎回,
2025-09-23,1.9216,1.9216,-0.0147,开放申购,开放赎回,
2025-09-22,1.9502,1.9502,0.0097,开放申购,开放赎回,
2025-09-19,1.9315,1.9315,-0.0109,开放申购,开放赎回,
2025-09-18,1.9528,1.9528,-0.0113,开放申购,开放赎回,
2025-09-17,1.9752,1.9752,0.0072,开放申购,开放赎回,
2025-09-16,1.961,1.961,0.0131,开放申购,开放赎回,
2025-09-15,1.9356,1.9356,-0.0034999999999999996,开放申购,开放赎回,
2025-09-12,1.9424,1.9424,-0.0001,开放申购,开放赎回,
2025-09-11,1.9426,1.9426,0.0259,开放申购,开放赎回,
2025-09-10,1.8935,1.8935,0.0012,开放申购,开放赎回,
2025-09-09,1.8912,1.8912,-0.0176,开放申购,开放赎回,
2025-09-08,1.9251,1.9251,0.0095,开放申购,开放赎回,
2025-09-05,1.907,1.907,0.033,开放申购,开放赎回,
2025-09-04,1.8461,1.8461,-0.024,开放申购,开放赎回,
2025-09-03,1.8914,1.8914,-0.0141,开放申购,开放赎回,
2025-09-02,1.9184,1.9184,-0.0321,开放申购,开放赎回,
2025-09-01,1.982,1.982,0.0091,开放申购,开放赎回,
2025-08-29,1.9641,1.9641,-0.0044,开放申购,开放赎回,
2025-08-28,1.9727,1.9727,0.017,开放申购,开放赎回,
2025-08-27,1.9397,1.9397,-0.024,开放申购,开放赎回,
2025-08-26,1.9874,1.9874,-0.0058,开放申购,开放赎回,
2025-08-25,1.9989,1.9989,0.025099999999999997,开放申购,开放赎回,
2025-08-22,1.9499,1.9499,0.0125,开放申购,开放赎回,
2025-08-21,1.9258,1.9258,-0.0083,开放申购,开放赎回,
2025-08-20,1.9419,1.9419,-0.0019,开放申购,开放赎回,
2025-08-19,1.9455,1.9455,0.0019,开放申购,开放赎回,
2025-08-18,1.9418,1.9418,0.0265,开放申购,开放赎回,
2025-08-15,1.8916,1.8916,0.0215,开放申购,开放赎回,
2025-08-14,1.8517,1.8517,-0.011699999999999999,开放申购,开放赎回,
2025-08-13,1.8737,1.8737,0.013500000000000002,开放申购,开放赎回,
2025-08-12,1.8488,1.8488,0.0034000000000000002,开放申购,开放赎回,
2025-08-11,1.8425,1.8425,0.0199,开放申购,开放赎回,
2025-08-08,1.8066,1.8066,-0.0126,开放申购,开放赎回,
2025-08-07,1.8296,1.8296,0.0037,开放申购,开放赎回,
2025-08-06,1.8228,1.8228,0.011699999999999999,开放申购,开放赎回,
2025-08-05,1.8018,1.8018,0.004699999999999999,开放申购,开放赎回,
2025-08-04,1.7934,1.7934,0.013300000000000001,开放申购,开放赎回,
2025-08-01,1.7699,1.7699,0.0012,开放申购,开放赎回,
2025-07-31,1.7678,1.7678,-0.002,开放申购,开放赎回,
2025-07-30,1.7713,1.7713,-0.0092,开放申购,开放赎回,
2025-07-29,1.7877,1.7877,0.0062,开放申购,开放赎回,
2025-07-28,1.7767,1.7767,0.0067,开放申购,开放赎回,
2025-07-25,1.7648,1.7648,0.0042,开放申购,开放赎回,
2025-07-24,1.7574,1.7574,0.0134,开放申购,开放赎回,
2025-07-23,1.7342,1.7342,-0.0068000000000000005,开放申购,开放赎回,
2025-07-22,1.746,1.746,0.0002,开放申购,开放赎回,
2025-07-21,1.7457,1.7457,0.0039000000000000003,开放申购,开放赎回,
2025-07-18,1.7389,1.7389,-0.0016,开放申购,开放赎回,
2025-07-17,1.7417,1.7417,0.011899999999999999,开放申购,开放赎回,
2025-07-16,1.7213,1.7213,0.002,开放申购,开放赎回,
2025-07-15,1.7178,1.7178,0.0005,开放申购,开放赎回,
2025-07-14,1.7169,1.7169,-0.0028000000000000004,开放申购,开放赎回,
2025-07-11,1.7218,1.7218,0.0138,开放申购,开放赎回,
2025-07-10,1.6983,1.6983,-0.0011,开放申购,开放赎回,
2025-07-09,1.7002,1.7002,-0.0006,开放申购,开放赎回,
2025-07-08,1.7013,1.7013,0.0137,开放申购,开放赎回,
2025-07-07,1.6783,1.6783,0.003,开放申购,开放赎回,
2025-07-04,1.6733,1.6733,-0.0077,开放申购,开放赎回,
2025-07-03,1.6862,1.6862,0.0054,开放申购,开放赎回,
