date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-29,1.5439,1.5439,0.0016,开放申购,开放赎回,
2025-12-26,1.5414,1.5414,-0.003,开放申购,开放赎回,
2025-12-25,1.5461,1.5461,0.0027,开放申购,开放赎回,
2025-12-24,1.5419,1.5419,0.0076,开放申购,开放赎回,
2025-12-23,1.5303,1.5303,0.001,开放申购,开放赎回,
2025-12-22,1.5287,1.5287,0.0232,开放申购,开放赎回,
2025-12-19,1.4941,1.4941,0.0043,开放申购,开放赎回,
2025-12-18,1.4877,1.4877,-0.017,开放申购,开放赎回,
2025-12-17,1.5135,1.5135,0.0351,开放申购,开放赎回,
2025-12-16,1.4622,1.4622,-0.024,开放申购,开放赎回,
2025-12-15,1.4982,1.4982,-0.0185,开放申购,开放赎回,
2025-12-12,1.5265,1.5265,0.0125,开放申购,开放赎回,
2025-12-11,1.5077,1.5077,-0.0252,开放申购,开放赎回,
2025-12-10,1.5467,1.5467,0.003,开放申购,开放赎回,
2025-12-09,1.5421,1.5421,0.0126,开放申购,开放赎回,
2025-12-08,1.5229,1.5229,0.0297,开放申购,开放赎回,
2025-12-05,1.479,1.479,0.0028,开放申购,开放赎回,
2025-12-04,1.4748,1.4748,0.009,开放申购,开放赎回,
2025-12-03,1.4617,1.4617,-0.0112,开放申购,开放赎回,
2025-12-02,1.4782,1.4782,-0.0067,开放申购,开放赎回,
2025-12-01,1.4881,1.4881,0.023,开放申购,开放赎回,
2025-11-28,1.4546,1.4546,0.0037,开放申购,开放赎回,
2025-11-27,1.4492,1.4492,-0.006,开放申购,开放赎回,
2025-11-26,1.4579,1.4579,0.0354,开放申购,开放赎回,
2025-11-25,1.408,1.408,0.0191,开放申购,开放赎回,
2025-11-24,1.3816,1.3816,0.0074,开放申购,开放赎回,
2025-11-21,1.3714,1.3714,-0.0398,开放申购,开放赎回,
2025-11-20,1.4283,1.4283,-0.0043,开放申购,开放赎回,
2025-11-19,1.4344,1.4344,-0.0003,开放申购,开放赎回,
2025-11-18,1.4348,1.4348,0.0043,开放申购,开放赎回,
2025-11-17,1.4286,1.4286,0.0093999999999999,开放申购,开放赎回,
2025-11-14,1.4153,1.4153,-0.0308,开放申购,开放赎回,
2025-11-13,1.4603,1.4603,0.0056,开放申购,开放赎回,
2025-11-12,1.4521,1.4521,0.0036,开放申购,开放赎回,
2025-11-11,1.4469,1.4469,-0.0227999999999999,开放申购,开放赎回,
2025-11-10,1.4807,1.4807,-0.0084,开放申购,开放赎回,
2025-11-07,1.4933,1.4933,-0.0194,开放申购,开放赎回,
2025-11-06,1.5229,1.5229,0.0294,开放申购,开放赎回,
2025-11-05,1.4794,1.4794,-0.0072,开放申购,开放赎回,
2025-11-04,1.4901,1.4901,-0.011,开放申购,开放赎回,
2025-11-03,1.5067,1.5067,0.0011,开放申购,开放赎回,
2025-10-31,1.505,1.505,-0.0312,开放申购,开放赎回,
2025-10-30,1.5534,1.5534,-0.0220999999999999,开放申购,开放赎回,
2025-10-29,1.5885,1.5885,0.0048,开放申购,开放赎回,
2025-10-28,1.5809,1.5809,-0.002,开放申购,开放赎回,
2025-10-27,1.584,1.584,0.0229,开放申购,开放赎回,
2025-10-24,1.5485,1.5485,0.0493,开放申购,开放赎回,
2025-10-23,1.4757,1.4757,-0.0089,开放申购,开放赎回,
2025-10-22,1.4889,1.4889,0.0013,开放申购,开放赎回,
2025-10-21,1.4869,1.4869,0.0433,开放申购,开放赎回,
2025-10-20,1.4252,1.4252,0.0174,开放申购,开放赎回,
2025-10-17,1.4008,1.4008,-0.0279999999999999,开放申购,开放赎回,
2025-10-16,1.4411,1.4411,-0.0009,开放申购,开放赎回,
2025-10-15,1.4424,1.4424,0.0163,开放申购,开放赎回,
2025-10-14,1.4193,1.4193,-0.048,开放申购,开放赎回,
2025-10-13,1.4908,1.4908,-0.0038,开放申购,开放赎回,
2025-10-10,1.4965,1.4965,-0.0449,开放申购,开放赎回,
2025-10-09,1.5668,1.5668,0.0101,开放申购,开放赎回,
2025-09-30,1.5512,1.5512,0.003,开放申购,开放赎回,
2025-09-29,1.5466,1.5466,0.0118,开放申购,开放赎回,
2025-09-26,1.5286,1.5286,-0.0311,开放申购,开放赎回,
2025-09-25,1.5776,1.5776,0.0256,开放申购,开放赎回,
2025-09-24,1.5382,1.5382,0.0179,开放申购,开放赎回,
2025-09-23,1.5111,1.5111,-0.0038,开放申购,开放赎回,
2025-09-22,1.5169,1.5169,0.0191,开放申购,开放赎回,
2025-09-19,1.4885,1.4885,-0.0056999999999999,开放申购,开放赎回,
2025-09-18,1.4971,1.4971,0.0021,开放申购,开放赎回,
2025-09-17,1.4939,1.4939,0.0012,开放申购,开放赎回,
2025-09-16,1.4921,1.4921,0.0139999999999999,开放申购,开放赎回,
2025-09-15,1.4715,1.4715,-0.0074,开放申购,开放赎回,
2025-09-12,1.4825,1.4825,0.0034,开放申购,开放赎回,
2025-09-11,1.4775,1.4775,0.0657,开放申购,开放赎回,
2025-09-10,1.3864,1.3864,0.0266,开放申购,开放赎回,
2025-09-09,1.3505,1.3505,-0.0163,开放申购,开放赎回,
2025-09-08,1.3729,1.3729,-0.0184,开放申购,开放赎回,
2025-09-05,1.3986,1.3986,0.0481,开放申购,开放赎回,
2025-09-04,1.3344,1.3344,-0.08,开放申购,开放赎回,
2025-09-03,1.4505,1.4505,-0.0006,开放申购,开放赎回,
2025-09-02,1.4513,1.4513,-0.0385,开放申购,开放赎回,
2025-09-01,1.5094,1.5094,0.0254,开放申购,开放赎回,
2025-08-29,1.472,1.472,-0.0107,开放申购,开放赎回,
2025-08-28,1.4879,1.4879,0.0608,开放申购,开放赎回,
2025-08-27,1.4026,1.4026,0.0172,开放申购,开放赎回,
2025-08-26,1.3789,1.3789,-0.0081,开放申购,开放赎回,
2025-08-25,1.3901,1.3901,0.0424,开放申购,开放赎回,
2025-08-22,1.3335,1.3335,0.0613,开放申购,开放赎回,
2025-08-21,1.2565,1.2565,-0.0034,开放申购,开放赎回,
2025-08-20,1.2608,1.2608,0.0242,开放申购,开放赎回,
2025-08-19,1.231,1.231,0.0058,开放申购,开放赎回,
2025-08-18,1.2239,1.2239,0.036,开放申购,开放赎回,
2025-08-15,1.1814,1.1814,0.0078,开放申购,开放赎回,
2025-08-14,1.1722,1.1722,-0.0034,开放申购,开放赎回,
