date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-09,1.1415,1.1665,-0.0092,开放申购,开放赎回,
2025-12-08,1.1521,1.1771,-0.0063,开放申购,开放赎回,
2025-12-05,1.1594,1.1844,0.005,开放申购,开放赎回,
2025-12-04,1.1536,1.1786,-0.0022,开放申购,开放赎回,
2025-12-03,1.1561,1.1811,0.0001,开放申购,开放赎回,
2025-12-02,1.156,1.181,-0.0023,开放申购,开放赎回,
2025-12-01,1.1587,1.1837,0.0107,开放申购,开放赎回,
2025-11-28,1.1464,1.1714,0.0031,开放申购,开放赎回,
2025-11-27,1.1429,1.1679,-0.0022,开放申购,开放赎回,
2025-11-26,1.1454,1.1704,-0.0023,开放申购,开放赎回,
2025-11-25,1.148,1.173,0.0053,开放申购,开放赎回,
2025-11-24,1.142,1.167,-0.0018,开放申购,开放赎回,
2025-11-21,1.1441,1.1691,-0.0186,开放申购,开放赎回,
2025-11-20,1.1658,1.1908,-0.006,限制大额申购,开放赎回,每份派现金0.0050元
2025-11-19,1.1779,1.1979,0.0064,限制大额申购,开放赎回,
2025-11-18,1.1704,1.1904,-0.015,限制大额申购,开放赎回,
2025-11-17,1.1882,1.2082,-0.0060999999999999,开放申购,开放赎回,
2025-11-14,1.1955,1.2155,-0.0083,开放申购,开放赎回,
2025-11-13,1.2055,1.2255,0.0095,开放申购,开放赎回,
2025-11-12,1.1941,1.2141,-0.0008,开放申购,开放赎回,
2025-11-11,1.1951,1.2151,0.0019,开放申购,开放赎回,
2025-11-10,1.1928,1.2128,0.0058,开放申购,开放赎回,
2025-11-07,1.1859,1.2059,0.0046999999999999,开放申购,开放赎回,
2025-11-06,1.1803,1.2003,0.009,开放申购,开放赎回,
2025-11-05,1.1698,1.1898,0.0033,开放申购,开放赎回,
2025-11-04,1.1659,1.1859,-0.0101,开放申购,开放赎回,
2025-11-03,1.1778,1.1978,0.0063,开放申购,开放赎回,
2025-10-31,1.1704,1.1904,-0.0043,开放申购,开放赎回,
2025-10-30,1.1754,1.1954,0.0032,开放申购,开放赎回,
2025-10-29,1.1716,1.1916,0.0098999999999999,开放申购,开放赎回,
2025-10-28,1.1601,1.1801,-0.005,开放申购,开放赎回,
2025-10-27,1.1659,1.1859,0.0108,开放申购,开放赎回,
2025-10-24,1.1534,1.1734,-0.0046999999999999,开放申购,开放赎回,
2025-10-23,1.1588,1.1788,0.0029,开放申购,开放赎回,
2025-10-22,1.1555,1.1755,-0.0012,开放申购,开放赎回,
2025-10-21,1.1569,1.1769,0.0106,限制大额申购,开放赎回,每份派现金0.0050元
2025-10-20,1.1497,1.1647,0.001,限制大额申购,开放赎回,
2025-10-17,1.1485,1.1635,-0.0101,限制大额申购,开放赎回,
2025-10-16,1.1602,1.1752,-0.0015,开放申购,开放赎回,
2025-10-15,1.1619,1.1769,0.0012,开放申购,开放赎回,
2025-10-14,1.1605,1.1755,-0.0031,开放申购,开放赎回,
2025-10-13,1.1641,1.1791,-0.001,开放申购,开放赎回,
