date,net_value
2025-09-01,1.0
2025-09-03,0.9785
2025-09-04,0.9074
2025-09-05,0.9359
2025-09-08,0.9305
2025-09-09,0.9162
2025-09-10,0.9321
2025-09-11,0.992
2025-09-12,1.0063
2025-09-15,1.0093
2025-09-16,1.024
2025-09-17,1.039
2025-09-18,1.0523
2025-09-19,1.0377
2025-09-22,1.0837
2025-09-23,1.0902
2025-09-24,1.1303
2025-09-25,1.1371
2025-09-26,1.1219
2025-09-29,1.1437
2025-09-30,1.1666
2025-10-09,1.1994
2025-10-10,1.1295
2025-10-13,1.1527
2025-10-14,1.0963
2025-10-15,1.11
2025-10-16,1.0997
2025-10-17,1.0563
2025-10-20,1.0609
2025-10-21,1.0941
2025-10-22,1.0951
2025-10-23,1.0868
2025-10-24,1.1437
2025-10-27,1.1638
2025-10-28,1.1515
2025-10-29,1.1562
2025-10-30,1.1347
