date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-05,1.0874,1.0874,0.005,开放申购,开放赎回,
2025-12-04,1.082,1.082,0.0098999999999999,开放申购,开放赎回,
2025-12-03,1.0714,1.0714,-0.0136,开放申购,开放赎回,
2025-12-02,1.0862,1.0862,-0.0034,开放申购,开放赎回,
2025-12-01,1.0899,1.0899,0.015,开放申购,开放赎回,
2025-11-28,1.0738,1.0738,0.0008,开放申购,开放赎回,
2025-11-27,1.0729,1.0729,-0.0077,开放申购,开放赎回,
2025-11-26,1.0812,1.0812,0.0155,开放申购,开放赎回,
2025-11-25,1.0647,1.0647,0.0154,开放申购,开放赎回,
2025-11-24,1.0486,1.0486,0.0147,开放申购,开放赎回,
2025-11-21,1.0334,1.0334,-0.0292,开放申购,开放赎回,
2025-11-20,1.0645,1.0645,-0.0066,开放申购,开放赎回,
2025-11-19,1.0716,1.0716,-0.004,开放申购,开放赎回,
2025-11-18,1.0759,1.0759,-0.0054,开放申购,开放赎回,
2025-11-17,1.0817,1.0817,-0.003,开放申购,开放赎回,
2025-11-14,1.085,1.085,-0.0237999999999999,开放申购,开放赎回,
2025-11-13,1.1115,1.1115,0.009,开放申购,开放赎回,
2025-11-12,1.1016,1.1016,0.0027,开放申购,开放赎回,
2025-11-11,1.0986,1.0986,-0.0127,开放申购,开放赎回,
2025-11-10,1.1127,1.1127,0.0053,开放申购,开放赎回,
2025-11-07,1.1068,1.1068,-0.0157,开放申购,开放赎回,
2025-11-06,1.1245,1.1245,0.0219,开放申购,开放赎回,
2025-11-05,1.1004,1.1004,-0.0027,开放申购,开放赎回,
2025-11-04,1.1034,1.1034,-0.0168,开放申购,开放赎回,
2025-11-03,1.1223,1.1223,-0.0026,开放申购,开放赎回,
2025-10-31,1.1252,1.1252,-0.0210999999999999,开放申购,开放赎回,
2025-10-30,1.1495,1.1495,-0.0111,开放申购,开放赎回,
2025-10-29,1.1624,1.1624,0.0065,暂停申购,暂停赎回,
2025-10-28,1.1549,1.1549,-0.0081999999999999,开放申购,开放赎回,
2025-10-27,1.1644,1.1644,0.0216,开放申购,开放赎回,
2025-10-24,1.1398,1.1398,0.0232,开放申购,开放赎回,
2025-10-23,1.114,1.114,0.0017,开放申购,开放赎回,
2025-10-22,1.1121,1.1121,-0.0089,开放申购,开放赎回,
2025-10-21,1.1221,1.1221,0.0227,开放申购,开放赎回,
2025-10-20,1.0972,1.0972,0.0214,开放申购,开放赎回,
2025-10-17,1.0742,1.0742,-0.0343,开放申购,开放赎回,
2025-10-16,1.1123,1.1123,-0.0023,开放申购,开放赎回,
2025-10-15,1.1149,1.1149,0.0215,开放申购,开放赎回,
2025-10-14,1.0914,1.0914,-0.0374,开放申购,开放赎回,
2025-10-13,1.1338,1.1338,-0.0185,开放申购,开放赎回,
2025-10-10,1.1552,1.1552,-0.0351,开放申购,开放赎回,
2025-10-09,1.1972,1.1972,0.0127,开放申购,开放赎回,
2025-09-30,1.1822,1.1822,0.0105,开放申购,开放赎回,
2025-09-29,1.1699,1.1699,0.0136,开放申购,开放赎回,
2025-09-26,1.1542,1.1542,-0.032,开放申购,开放赎回,
2025-09-25,1.1923,1.1923,0.01,开放申购,开放赎回,
2025-09-24,1.1805,1.1805,0.025,开放申购,开放赎回,
2025-09-23,1.1517,1.1517,-0.0077,开放申购,开放赎回,
2025-09-22,1.1606,1.1606,0.0124,开放申购,开放赎回,
2025-09-19,1.1464,1.1464,-0.0002,开放申购,开放赎回,
2025-09-18,1.1466,1.1466,-0.0017,开放申购,开放赎回,
2025-09-17,1.1485,1.1485,0.0162,开放申购,开放赎回,
2025-09-16,1.1302,1.1302,0.0037,开放申购,开放赎回,
2025-09-15,1.126,1.126,0.004,开放申购,开放赎回,
2025-09-12,1.1215,1.1215,0.0046,开放申购,开放赎回,
2025-09-11,1.1164,1.1164,0.019,开放申购,开放赎回,
2025-09-10,1.0956,1.0956,0.0097,开放申购,开放赎回,
2025-09-09,1.0851,1.0851,-0.0069999999999999,开放申购,开放赎回,
2025-09-08,1.0928,1.0928,0.0113999999999999,开放申购,开放赎回,
2025-09-05,1.0805,1.0805,0.0291,开放申购,开放赎回,
2025-09-04,1.0499,1.0499,-0.0356,开放申购,开放赎回,
2025-09-03,1.0886,1.0886,-0.003,开放申购,开放赎回,
2025-09-02,1.0919,1.0919,-0.0212,开放申购,开放赎回,
2025-09-01,1.1155,1.1155,0.0371,开放申购,开放赎回,
2025-08-29,1.0756,1.0756,0.0044,开放申购,开放赎回,
2025-08-28,1.0709,1.0709,0.0092,开放申购,开放赎回,
2025-08-27,1.0611,1.0611,-0.009,开放申购,开放赎回,
2025-08-26,1.0707,1.0707,-0.0034,开放申购,开放赎回,
2025-08-25,1.0744,1.0744,0.0249,开放申购,开放赎回,
2025-08-22,1.0483,1.0483,0.0276,开放申购,开放赎回,
2025-08-21,1.0201,1.0201,-0.0008,开放申购,开放赎回,
