基金代码,基金名称,单位净值,日增长率,近1月收益,近3月收益,近1年收益,更新时间
020662,"试数据 * @type {arry} *//*2025-11-01 11:23:20*/var ishb=false;/*基金或股票信息*/var fS_name = ""中加科技创新混合发起式C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015857,"试数据 * @type {arry} *//*2025-11-01 11:06:52*/var ishb=false;/*基金或股票信息*/var fS_name = ""格林碳中和主题混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015290,"试数据 * @type {arry} *//*2025-11-01 11:04:39*/var ishb=false;/*基金或股票信息*/var fS_name = ""格林高股息优选混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
019514,"试数据 * @type {arry} *//*2025-11-01 11:19:49*/var ishb=false;/*基金或股票信息*/var fS_name = ""交银荣鑫灵活配置混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015389,"试数据 * @type {arry} *//*2025-11-01 11:05:03*/var ishb=false;/*基金或股票信息*/var fS_name = ""宝盈转型动力混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
020398,"试数据 * @type {arry} *//*2025-11-01 11:22:37*/var ishb=false;/*基金或股票信息*/var fS_name = ""中银港股通医药混合发起C",0.0,0.0,0.0,0.0,0.0,2025-11-01
020635,"试数据 * @type {arry} *//*2025-11-01 11:23:15*/var ishb=false;/*基金或股票信息*/var fS_name = ""汇添富恒生生物科技ETF发起式联接(QDII)C",0.0,0.0,0.0,0.0,0.0,2025-11-01
021031,"试数据 * @type {arry} *//*2025-11-01 11:24:19*/var ishb=false;/*基金或股票信息*/var fS_name = ""汇添富国证港股通创新药ETF发起式联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
021500,"试数据 * @type {arry} *//*2025-11-01 11:25:29*/var ishb=false;/*基金或股票信息*/var fS_name = ""景顺长城优质成长股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
019548,"试数据 * @type {arry} *//*2025-11-01 11:19:55*/var ishb=false;/*基金或股票信息*/var fS_name = ""招商纳斯达克100ETF发起式联接(QDII)C",0.0,0.0,0.0,0.0,0.0,2025-11-01
018957,"试数据 * @type {arry} *//*2025-11-01 11:18:07*/var ishb=false;/*基金或股票信息*/var fS_name = ""中航机遇领航混合发起C",0.0,0.0,0.0,0.0,0.0,2025-11-01
