date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-04,1.1029,1.1029,0.0067,开放申购,开放赎回,
2025-12-03,1.0956,1.0956,-0.0131,开放申购,开放赎回,
2025-12-02,1.1101,1.1101,-0.0168,开放申购,开放赎回,
2025-12-01,1.1291,1.1291,0.0149,开放申购,开放赎回,
2025-11-28,1.1125,1.1125,0.0085,开放申购,开放赎回,
2025-11-27,1.1031,1.1031,-0.0043,开放申购,开放赎回,
2025-11-26,1.1079,1.1079,0.0097,开放申购,开放赎回,
2025-11-25,1.0973,1.0973,0.0187,开放申购,开放赎回,
2025-11-24,1.0772,1.0772,0.0151,开放申购,开放赎回,
2025-11-21,1.0612,1.0612,-0.0241,开放申购,开放赎回,
2025-11-20,1.0874,1.0874,-0.0078000000000000005,开放申购,开放赎回,
2025-11-19,1.0959,1.0959,-0.0085,开放申购,开放赎回,
2025-11-18,1.1053,1.1053,0.01,开放申购,开放赎回,
2025-11-17,1.0944,1.0944,0.0069,开放申购,开放赎回,
2025-11-14,1.0869,1.0869,-0.0256,开放申购,开放赎回,
2025-11-13,1.1154,1.1154,0.0141,开放申购,开放赎回,
2025-11-12,1.0999,1.0999,-0.0058,开放申购,开放赎回,
2025-11-11,1.1063,1.1063,-0.0158,开放申购,开放赎回,
2025-11-10,1.1241,1.1241,-0.0095,开放申购,开放赎回,
2025-11-07,1.1349,1.1349,-0.0212,开放申购,开放赎回,
2025-11-06,1.1595,1.1595,0.0245,开放申购,开放赎回,
2025-11-05,1.1318,1.1318,-0.0091,开放申购,开放赎回,
2025-11-04,1.1422,1.1422,-0.0203,开放申购,开放赎回,
2025-11-03,1.1659,1.1659,-0.0089,开放申购,开放赎回,
2025-10-31,1.1764,1.1764,-0.0175,开放申购,开放赎回,
2025-10-30,1.1973,1.1973,-0.015300000000000001,开放申购,开放赎回,
2025-10-29,1.2159,1.2159,0.0007000000000000001,开放申购,开放赎回,
2025-10-28,1.215,1.215,-0.0052,开放申购,开放赎回,
2025-10-27,1.2214,1.2214,0.0096,开放申购,开放赎回,
2025-10-24,1.2098,1.2098,0.0406,开放申购,开放赎回,
2025-10-23,1.1626,1.1626,-0.0023,开放申购,开放赎回,
2025-10-22,1.1653,1.1653,0.0014000000000000002,开放申购,开放赎回,
2025-10-21,1.1637,1.1637,0.028399999999999998,开放申购,开放赎回,
2025-10-20,1.1316,1.1316,0.006500000000000001,开放申购,开放赎回,
2025-10-17,1.1243,1.1243,-0.0387,开放申购,开放赎回,
2025-10-16,1.1696,1.1696,-0.0118,开放申购,开放赎回,
2025-10-15,1.1836,1.1836,0.0103,开放申购,开放赎回,
2025-10-14,1.1715,1.1715,-0.0409,开放申购,开放赎回,
2025-10-13,1.2215,1.2215,0.0008,开放申购,开放赎回,
2025-10-10,1.2205,1.2205,-0.0567,开放申购,开放赎回,
2025-10-09,1.2938,1.2938,0.020099999999999996,开放申购,开放赎回,
2025-09-30,1.2683,1.2683,0.0297,开放申购,开放赎回,
2025-09-29,1.2317,1.2317,0.0106,开放申购,开放赎回,
2025-09-26,1.2188,1.2188,-0.0301,开放申购,开放赎回,
2025-09-25,1.2566,1.2566,0.0134,开放申购,开放赎回,
2025-09-24,1.24,1.24,0.0197,开放申购,开放赎回,
2025-09-23,1.216,1.216,-0.0132,开放申购,开放赎回,
2025-09-22,1.2323,1.2323,0.0397,开放申购,开放赎回,
2025-09-19,1.1852,1.1852,-0.0169,开放申购,开放赎回,
2025-09-18,1.2056,1.2056,-0.0038,开放申购,开放赎回,
2025-09-17,1.2102,1.2102,0.0007000000000000001,开放申购,开放赎回,
2025-09-16,1.2093,1.2093,0.015,开放申购,开放赎回,
2025-09-15,1.1914,1.1914,-0.0063,开放申购,开放赎回,
2025-09-12,1.199,1.199,0.0258,开放申购,开放赎回,
2025-09-11,1.1688,1.1688,0.0403,开放申购,开放赎回,
2025-09-10,1.1235,1.1235,0.0166,开放申购,开放赎回,
2025-09-09,1.1052,1.1052,-0.0149,开放申购,开放赎回,
2025-09-08,1.1219,1.1219,-0.0012,开放申购,开放赎回,
2025-09-05,1.1233,1.1233,0.0371,开放申购,开放赎回,
2025-09-04,1.0831,1.0831,-0.0683,开放申购,开放赎回,
2025-09-03,1.1625,1.1625,-0.023,开放申购,开放赎回,
2025-09-02,1.1899,1.1899,-0.0276,开放申购,开放赎回,
2025-09-01,1.2237,1.2237,-0.004699999999999999,开放申购,开放赎回,
2025-08-29,1.2295,1.2295,-0.0091,开放申购,开放赎回,
2025-08-28,1.2408,1.2408,0.0564,开放申购,开放赎回,
2025-08-27,1.1746,1.1746,0.0218,开放申购,开放赎回,
2025-08-26,1.1495,1.1495,-0.0127,开放申购,开放赎回,
2025-08-25,1.1643,1.1643,0.0202,开放申购,开放赎回,
2025-08-22,1.1413,1.1413,0.0433,开放申购,开放赎回,
2025-08-21,1.0939,1.0939,-0.0054,开放申购,开放赎回,
2025-08-20,1.0998,1.0998,0.0385,开放申购,开放赎回,
2025-08-19,1.059,1.059,0.0,封闭期,封闭期,
2025-08-15,1.0144,1.0144,0.0,封闭期,封闭期,
2025-08-12,1.0,1.0,0.0,封闭期,封闭期,
