date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-03,1.2155,1.2155,-0.016,开放申购,开放赎回,
2025-12-02,1.2353,1.2353,-0.0052,开放申购,开放赎回,
2025-12-01,1.2417,1.2417,0.0039000000000000003,开放申购,开放赎回,
2025-11-28,1.2369,1.2369,-0.0019,开放申购,开放赎回,
2025-11-27,1.2393,1.2393,-0.0038,开放申购,开放赎回,
2025-11-26,1.244,1.244,0.0031,开放申购,开放赎回,
2025-11-25,1.2401,1.2401,0.0113,开放申购,开放赎回,
2025-11-24,1.2262,1.2262,0.0262,开放申购,开放赎回,
2025-11-21,1.1949,1.1949,-0.0332,开放申购,开放赎回,
2025-11-20,1.2359,1.2359,-0.0034999999999999996,开放申购,开放赎回,
2025-11-19,1.2402,1.2402,-0.008199999999999999,开放申购,开放赎回,
2025-11-18,1.2504,1.2504,-0.019799999999999998,开放申购,开放赎回,
2025-11-17,1.2756,1.2756,-0.0089,开放申购,开放赎回,
2025-11-14,1.287,1.287,-0.0226,开放申购,开放赎回,
2025-11-13,1.3168,1.3168,0.013500000000000002,开放申购,开放赎回,
2025-11-12,1.2992,1.2992,0.0011,开放申购,开放赎回,
2025-11-11,1.2978,1.2978,0.0011,开放申购,开放赎回,
2025-11-10,1.2964,1.2964,0.0137,开放申购,开放赎回,
2025-11-07,1.2789,1.2789,-0.0207,开放申购,开放赎回,
2025-11-06,1.3059,1.3059,0.0226,开放申购,开放赎回,
2025-11-05,1.277,1.277,-0.0036,开放申购,开放赎回,
2025-11-04,1.2816,1.2816,-0.0216,开放申购,开放赎回,
2025-11-03,1.3099,1.3099,0.0021,开放申购,开放赎回,
2025-10-31,1.3072,1.3072,-0.018799999999999997,开放申购,开放赎回,
2025-10-30,1.3322,1.3322,-0.006,开放申购,开放赎回,
2025-10-29,1.3402,1.3402,-0.0003,暂停申购,暂停赎回,
2025-10-28,1.3406,1.3406,-0.0125,开放申购,开放赎回,
2025-10-27,1.3576,1.3576,0.017,开放申购,开放赎回,
2025-10-24,1.3349,1.3349,0.0167,开放申购,开放赎回,
2025-10-23,1.313,1.313,0.0015,开放申购,开放赎回,
2025-10-22,1.311,1.311,-0.011899999999999999,开放申购,开放赎回,
2025-10-21,1.3268,1.3268,0.010700000000000001,开放申购,开放赎回,
2025-10-20,1.3127,1.3127,0.024300000000000002,开放申购,开放赎回,
2025-10-17,1.2815,1.2815,-0.0387,开放申购,开放赎回,
2025-10-16,1.3331,1.3331,-0.0066,开放申购,开放赎回,
2025-10-15,1.342,1.342,0.0263,开放申购,开放赎回,
2025-10-14,1.3076,1.3076,-0.0373,开放申购,开放赎回,
2025-10-13,1.3583,1.3583,-0.0191,开放申购,开放赎回,
2025-10-10,1.3847,1.3847,-0.0353,开放申购,开放赎回,
2025-10-09,1.4354,1.4354,0.001,开放申购,开放赎回,
2025-09-30,1.4339,1.4339,0.024399999999999998,开放申购,开放赎回,
2025-09-29,1.3997,1.3997,0.018600000000000002,开放申购,开放赎回,
2025-09-26,1.3741,1.3741,-0.0279,开放申购,开放赎回,
2025-09-25,1.4135,1.4135,0.0088,开放申购,开放赎回,
2025-09-24,1.4012,1.4012,0.0216,开放申购,开放赎回,
2025-09-23,1.3716,1.3716,-0.0113,开放申购,开放赎回,
2025-09-22,1.3873,1.3873,0.0028000000000000004,开放申购,开放赎回,
2025-09-19,1.3834,1.3834,0.0006,开放申购,开放赎回,
2025-09-18,1.3826,1.3826,-0.0075,开放申购,开放赎回,
2025-09-17,1.393,1.393,0.0302,开放申购,开放赎回,
2025-09-16,1.3521,1.3521,0.0025,开放申购,开放赎回,
2025-09-15,1.3487,1.3487,0.0097,开放申购,开放赎回,
2025-09-12,1.3358,1.3358,0.0148,开放申购,开放赎回,
2025-09-11,1.3163,1.3163,-0.0045000000000000005,开放申购,开放赎回,
2025-09-10,1.3223,1.3223,0.0046,开放申购,开放赎回,
2025-09-09,1.3163,1.3163,0.0106,开放申购,开放赎回,
2025-09-08,1.3025,1.3025,0.0037,开放申购,开放赎回,
2025-09-05,1.2977,1.2977,0.0229,开放申购,开放赎回,
2025-09-04,1.2687,1.2687,-0.0254,开放申购,开放赎回,
2025-09-03,1.3018,1.3018,-0.0058,开放申购,开放赎回,
2025-09-02,1.3094,1.3094,-0.0086,开放申购,开放赎回,
2025-09-01,1.3207,1.3207,0.025699999999999997,开放申购,开放赎回,
2025-08-29,1.2876,1.2876,0.006,开放申购,开放赎回,
2025-08-28,1.2799,1.2799,-0.0138,开放申购,开放赎回,
2025-08-27,1.2978,1.2978,-0.016399999999999998,开放申购,开放赎回,
2025-08-26,1.3194,1.3194,-0.0062,开放申购,开放赎回,
2025-08-25,1.3276,1.3276,0.0148,开放申购,开放赎回,
