category,score,description
选证能力,,反映基金挑选证券而实现风险<br>调整后获得超额收益的能力
收益率,,根据阶段收益评分，反映基金的盈利能力
抗风险,,反映基金投资收益的回撤情况
稳定性,,反映基金投资收益的波动性
择时能力,,反映基金根据对市场走势的判断，<br>通过调整仓位及配置而跑赢基金业<br>绩基准的能力
