基金代码,成立日期,基金经理(现任),类型,管理人,资产规模,截止至,起始期,截止期,基金经理(变动),任职期间,任职回报
160226,2015-11-17,陈臻迪,混合型-灵活,国泰基金,0.01亿元,,,,,,
160528,2020-03-20,石炯,混合型-灵活,博时基金,0.30亿元,,,,,,
160424,2019-05-21,许之彦,指数型-股票,华安基金,40.25亿元,,,,,,
167507,2019-12-06,邱家庆,指数型-股票,安信基金,0.60亿元,,,,,,
519022,2015-11-17,李海,混合型-灵活,国泰基金,12.89亿元,,,,,,
519173,2016-02-03,秦闻,混合型-灵活,浦银安盛基金,0.16亿元,,,,,,
501037,2017-08-10,吴振翔,指数型-股票,汇添富基金,4.66亿元,,,,,,
519771,2016-04-22,姜承操周珊珊,混合型-灵活,交银施罗德基金,3.77亿元,,,,,,
