基金代码,成立日期,基金经理(现任),类型,管理人,资产规模,截止至,起始期,截止期,基金经理(变动),任职期间,任职回报
001467,2015-06-15,李孝华,混合型-灵活,华富基金,1.07亿元,,,,,,
000850,2014-11-26,韦钰,混合型-灵活,汇丰晋信基金,2.64亿元,,,,,,
001174,2015-04-13,李帅,混合型-灵活,中欧基金,4.74亿元,,,,,,
001301,2015-05-26,韩创,混合型-灵活,大成基金,7.38亿元,,,,,,
001770,2016-12-26,吴国清,混合型-灵活,前海开源基金,14.02亿元,,,,,,
001665,2015-12-11,林清源,混合型-灵活,平安基金,0.24亿元,,,,,,
001407,2015-06-08,江山,混合型-灵活,景顺长城基金,39.04亿元,,,,,,
001618,2015-07-29,洪明华,指数型-股票,天弘基金,6.88亿元,,,,,,
001557,2015-06-30,杨超,指数型-股票,天弘基金,10.01亿元,,,,,,
001593,2015-07-08,林心龙洪明华,指数型-股票,天弘基金,65.66亿元,,,,,,
001998,2016-10-10,李劭钊,混合型-灵活,工银瑞信基金,0.46亿元,,,,,,
002036,2015-11-17,聂世林,混合型-灵活,安信基金,13.06亿元,,,,,,
002051,2015-11-18,左少逸,混合型-灵活,诺安基金,3.83亿元,,,,,,
002052,2015-11-18,邓心怡,混合型-灵活,诺安基金,10.75亿元,,,,,,
002112,2015-11-16,雷涛陆阳,混合型-灵活,德邦基金,71.50亿元,,,,,,
002158,2015-11-26,李超,混合型-灵活,汇添富基金,0.06亿元,,,,,,
002163,2015-11-20,严凯,混合型-灵活,东方基金,0.82亿元,,,,,,
002096,2016-02-04,过钧,混合型-灵活,博时基金,7.72亿元,,,,,,
002157,2015-12-11,李琪王远鸿,混合型-灵活,长盛基金,0.16亿元,,,,,,
002233,2015-12-03,郭雪松,混合型-灵活,工银瑞信基金,1.54亿元,,,,,,
002207,2015-12-02,吴国清,混合型-灵活,前海开源基金,26.46亿元,,,,,,
002333,2016-11-10,闵良超,股票型,汇丰晋信基金,3.87亿元,,,,,,
002686,2016-11-08,罗佳明,混合型-灵活,中欧基金,1.87亿元,,,,,,
002451,2016-03-29,黄维,混合型-灵活,平安基金,4.76亿元,,,,,,
002316,2015-12-31,董梁李添峰,指数型-股票,创金合信基金,2.76亿元,,,,,,
002771,2016-05-09,陈鹏,混合型-灵活,安信基金,2.97亿元,,,,,,
003070,2020-01-02,王卫林,股票型,光大保德信基金,1.11亿元,,,,,,
002974,2016-07-06,霍华明,指数型-股票,广发基金,3.30亿元,,,,,,
003305,2016-10-17,吴国清,混合型-灵活,前海开源基金,16.07亿元,,,,,,
003625,2016-11-02,李游黄超,股票型,创金合信基金,4.47亿元,,,,,,
003578,2016-11-28,耿帅军,指数型-股票,中金基金,2.54亿元,,,,,,
003761,2017-08-01,吴中昊,指数型-股票,国泰基金,0.09亿元,,,,,,
003858,2017-01-25,刘宏,混合型-灵活,前海开源基金,0.51亿元,,,,,,
004193,2017-05-17,邓童,指数型-股票,招商基金,2.02亿元,,,,,,
004195,2017-03-03,蔡振,指数型-股票,招商基金,6.40亿元,,,,,,
003766,2017-05-25,刘杰,指数型-股票,广发基金,30.34亿元,,,,,,
004232,2017-01-12,柳世庆,混合型-偏股,中欧基金,1.58亿元,,,,,,
004235,2017-01-19,袁维德,混合型-灵活,中欧基金,22.88亿元,,,,,,
004234,2017-01-19,曲径,混合型-灵活,中欧基金,4.74亿元,,,,,,
004231,2017-01-12,王培尹为醇,混合型-偏股,中欧基金,2.21亿元,,,,,,
004241,2017-01-19,周蔚文罗佳明,股票型,中欧基金,21.82亿元,,,,,,
004237,2017-01-12,周蔚文冯炉丹,混合型-偏股,中欧基金,14.36亿元,,,,,,
004343,2017-02-23,孙伟,指数型-股票,南方基金,14.38亿元,,,,,,
004347,2017-02-23,孙伟,指数型-股票,南方基金,2.70亿元,,,,,,
004391,2017-04-14,神爱前,混合型-灵活,平安基金,2.16亿元,,,,,,
004348,2017-02-23,罗文杰,指数型-股票,南方基金,5.81亿元,,,,,,
004435,2017-04-14,李喆,混合型-偏股,博时基金,0.31亿元,,,,,,
004433,2017-09-08,崔蕾,指数型-股票,南方基金,15.96亿元,,,,,,
004497,2017-07-03,叶嘉,混合型-灵活,前海开源基金,3.72亿元,,,,,,
004409,2017-02-23,侯昊,指数型-股票,招商基金,2.60亿元,,,,,,
004719,2017-11-10,王勇,混合型-灵活,景顺长城基金,1.12亿元,,,,,,
004815,2018-04-19,蓝小康,混合型-灵活,中欧基金,71.70亿元,,,,,,
004819,2017-10-24,张琦,混合型-灵活,国寿安保基金,0.58亿元,,,,,,
004744,2017-06-02,成曦刘树荣,指数型-股票,易方达基金,44.87亿元,,,,,,
004870,2017-07-05,蔡志伟吕寒,指数型-股票,融通基金,1.13亿元,,,,,,
004875,2017-07-05,蔡志伟,指数型-股票,融通基金,0.22亿元,,,,,,
005187,2017-11-29,张云凯,混合型-灵活,长安基金,0.12亿元,,,,,,
005198,2017-11-09,耿家琛,混合型-灵活,工银瑞信基金,0.43亿元,,,,,,
005245,2017-11-15,程洲,混合型-灵活,国泰基金,2.41亿元,,,,,,
005287,2018-04-08,杜晓海,指数型-股票,海富通基金,0.96亿元,,,,,,
005300,2018-02-01,耿嘉洲,混合型-灵活,万家基金,7.25亿元,,,,,,
005374,2018-04-04,林沐尘,混合型-灵活,中加基金,0.11亿元,,,,,,
005491,2020-01-31,谢治宇薛怡然,混合型-灵活,兴证全球基金,19.09亿元,,,,,,
