date,net_value,equity_return,unit_money
2024-04-29,1.0,0.0,
2024-05-09,0.9997,0.0,
2024-05-16,1.0002,0.0,
2024-05-23,0.9951,0.0,
2024-05-29,0.9954,0.0,
2024-05-30,0.9935,-0.19,
2024-06-02,0.9977,0.42,
2024-06-03,1.0015,0.38,
2024-06-04,0.9988,-0.27,
2024-06-05,1.0029,0.41,
2024-06-06,0.9964,-0.65,
2024-06-10,0.9963,-0.01,
2024-06-11,0.9967,0.04,
2024-06-12,1.0075,1.08,
2024-06-13,1.0151,0.75,
2024-06-16,1.0194,0.42,
2024-06-17,1.0293,0.97,
2024-06-18,1.0257,-0.35,
2024-06-19,1.0155,-0.99,
2024-06-20,1.0099,-0.55,
2024-06-23,1.0006,-0.92,
2024-06-24,0.9871,-1.35,
2024-06-25,0.9946,0.76,
2024-06-26,0.9719,-2.28,
2024-06-27,0.9843,1.28,
2024-06-29,0.9842,-0.01,
2024-06-30,0.9811,-0.31,
2024-07-01,0.9765,-0.47,
2024-07-02,0.9657,-1.11,
2024-07-03,0.9736,0.82,
2024-07-04,0.9689,-0.48,
2024-07-07,0.9626,-0.65,
2024-07-08,0.9889,2.73,
2024-07-09,0.9949,0.61,
2024-07-10,0.9982,0.33,
2024-07-11,0.9915,-0.67,
2024-07-14,0.9815,-1.01,
2024-07-15,0.9801,-0.14,
2024-07-16,0.9662,-1.42,
2024-07-17,0.9665,0.03,
2024-07-18,0.9658,-0.07,
2024-07-21,0.9671,0.13,
2024-07-22,0.951,-1.66,
2024-07-23,0.9377,-1.4,
2024-07-24,0.9224,-1.63,
2024-07-25,0.9362,1.5,
2024-07-28,0.9392,0.32,
2024-07-29,0.9358,-0.36,
2024-07-30,0.9588,2.46,
2024-07-31,0.9548,-0.42,
2024-08-01,0.9308,-2.51,
2024-08-04,0.9124,-1.98,
2024-08-05,0.9228,1.14,
2024-08-06,0.9298,0.76,
2024-08-07,0.9227,-0.76,
2024-08-08,0.9261,0.37,
2024-08-11,0.923,-0.33,
2024-08-12,0.9282,0.56,
2024-08-13,0.9173,-1.17,
2024-08-14,0.9235,0.68,
2024-08-15,0.9266,0.34,
2024-08-18,0.9265,-0.01,
2024-08-19,0.9215,-0.54,
2024-08-20,0.9253,0.41,
2024-08-21,0.9207,-0.5,
2024-08-22,0.9181,-0.28,
2024-08-25,0.9156,-0.27,
2024-08-26,0.9056,-1.09,
2024-08-27,0.9076,0.22,
2024-08-28,0.9194,1.3,
2024-08-29,0.9288,1.02,
2024-09-01,0.91,-2.02,
2024-09-02,0.9245,1.59,
2024-09-03,0.9242,-0.03,
2024-09-04,0.9308,0.71,
2024-09-05,0.9221,-0.93,
2024-09-08,0.9204,-0.18,
2024-09-09,0.9243,0.42,
2024-09-10,0.9339,1.04,
2024-09-11,0.9335,-0.04,
2024-09-12,0.9351,0.17,
2024-09-17,0.9407,0.6,
2024-09-18,0.9409,0.02,
2024-09-19,0.9421,0.13,
2024-09-22,0.9404,-0.18,
2024-09-23,0.9699,3.14,
2024-09-24,0.9707,0.08,
2024-09-25,0.9966,2.67,
2024-09-26,1.0262,2.97,
