date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2025-12-17,014777,未知品种,1,24,正常,-12.32,39.87,-0.34,1.1957
2025-12-24,002052,未知品种,1,8,🚩高风险(陷阱),-10.73,72.17,1.08,1.914
2025-12-24,011613,未知品种,1,29,🚩高风险(陷阱),-10.97,80.87,1.86,1.0697
2025-12-24,012729,未知品种,1,53,🚩高风险(陷阱),-12.85,85.7,0.66,1.5202
2025-12-24,008182,未知品种,1,10,🚩高风险(陷阱),-13.79,67.77,0.65,0.9579
2025-12-17,013894,未知品种,1,24,正常,-13.5,42.17,-0.04,1.1584
2025-12-24,013811,未知品种,1,29,🚩高风险(陷阱),-11.47,80.75,1.87,0.947
2025-12-17,015788,未知品种,1,24,正常,-13.81,38.73,0.03,1.4446
2025-12-17,012040,未知品种,1,3,正常,-11.0,39.28,0.19,1.3161
2025-12-17,013292,未知品种,1,32,正常,-13.88,50.99,0.57,1.986
2025-12-17,012809,未知品种,1,3,正常,-10.04,39.94,-0.51,1.077
2025-12-17,014194,未知品种,1,3,正常,-10.6,43.79,-0.17,1.1857
2025-12-24,011609,未知品种,1,29,🚩高风险(陷阱),-11.36,80.28,1.74,1.039
2025-12-24,018558,未知品种,1,28,🚩高风险(陷阱),-18.47,56.03,-0.68,1.2387
2025-12-24,020635,未知品种,1,28,🚩高风险(陷阱),-18.55,57.77,-0.63,1.6348
2025-12-17,015895,未知品种,1,24,正常,-13.01,36.37,0.02,1.4361
2025-12-17,014419,未知品种,1,3,正常,-11.08,43.91,-0.09,1.1153
2025-12-24,020398,未知品种,1,52,🚩高风险(陷阱),-18.9,59.34,-0.43,1.6525
2025-12-17,002974,未知品种,1,3,正常,-10.92,39.63,0.19,1.5355
2025-12-17,015676,未知品种,1,3,正常,-10.03,39.51,0.31,1.6066
2025-12-24,015144,未知品种,1,34,🚩高风险(陷阱),-12.78,79.88,2.56,1.717
2025-12-23,008888,未知品种,1,28,🚩高风险(陷阱),-10.22,69.47,2.82,1.4963
2025-12-17,010956,未知品种,1,32,正常,-13.63,51.23,0.62,1.0695
2025-12-17,015337,未知品种,1,24,正常,-12.49,40.13,-0.32,1.2417
2025-12-24,014143,未知品种,1,29,🚩高风险(陷阱),-13.76,85.96,3.55,8.5746
2025-12-24,010214,未知品种,1,27,🚩高风险(陷阱),-11.69,83.67,0.56,1.0087
2025-12-24,016616,未知品种,1,31,🚩高风险(陷阱),-10.7,81.58,2.71,3.8949
2025-12-24,008532,未知品种,1,25,🚩高风险(陷阱),-10.88,79.94,1.6,1.1286
2025-12-24,021031,未知品种,1,53,🚩高风险(陷阱),-20.53,59.97,-0.4,1.7666
2025-12-17,012838,未知品种,1,24,正常,-12.68,40.44,-0.35,0.9137
2025-12-23,006328,未知品种,1,26,正常,-13.82,44.01,0.21,1.122
2025-12-24,012429,未知品种,1,34,🚩高风险(陷阱),-16.26,77.01,1.74,1.1248
2025-12-24,001770,未知品种,1,40,🚩高风险(陷阱),-17.41,70.55,0.58,2.069
2025-12-24,019599,未知品种,1,28,🚩高风险(陷阱),-18.51,57.06,-0.59,1.165
2025-12-17,011611,未知品种,1,24,正常,-12.81,42.14,-0.03,1.0282
2025-12-24,020404,未知品种,1,29,🚩高风险(陷阱),-11.94,93.86,2.09,1.7703
2025-12-24,013466,未知品种,1,34,🚩高风险(陷阱),-19.18,78.15,1.27,1.1852
2025-12-24,011615,未知品种,1,29,🚩高风险(陷阱),-10.99,80.33,1.7,1.0508
2025-12-24,010655,未知品种,1,28,🚩高风险(陷阱),-14.33,65.44,-0.14,1.0271
2025-12-24,008981,未知品种,1,37,🚩高风险(陷阱),-14.07,93.81,3.1,1.8306
2025-12-17,014172,未知品种,3,6,✅高胜率区,-12.94,28.07,-0.86,1.245
2025-12-24,003305,未知品种,1,39,🚩高风险(陷阱),-12.74,96.81,1.44,4.663
2025-12-17,014332,未知品种,1,2,正常,-10.16,42.87,-0.22,1.1356
