date,fund_code,price,回撤%,RSI,BIAS,量比,评分,建议
2025-12-23,018558,1.2462,-10.17,53.56,0.01,--,1,⌛等待
2025-12-23,020635,1.6447,-10.11,55.81,0.1,--,1,⌛等待
2025-12-23,021031,1.7795,-10.33,61.28,0.45,--,1,⌛等待
2025-12-23,019599,1.171,-10.23,53.3,0.02,--,1,⌛等待
