date,fund_code,price,回撤%,RSI,BIAS,量比,信号
2025-12-17,014777,1.1957,-5.35,39.87,-0.34,--,观察
2025-12-23,015642,1.727,-6.03,63.3,1.29,--,观察
2025-12-23,002052,1.887,-7.68,48.28,0.11,--,观察
2025-12-23,013533,2.245,-5.79,61.66,3.24,--,观察
2025-12-23,011329,1.369,-5.95,56.2,1.1,--,观察
2025-12-23,008182,0.9555,-5.47,53.9,0.82,--,观察
2025-12-17,013894,1.1584,-7.25,42.17,-0.04,--,观察
2025-12-17,015788,1.4446,-7.44,38.73,0.03,--,观察
2025-12-17,012040,1.3161,-6.2,39.28,0.19,--,观察
2025-12-17,014194,1.1857,-5.19,43.79,-0.17,--,观察
2025-12-17,015577,1.4209,-5.24,48.54,0.06,--,观察
2025-12-23,018558,1.2462,-10.17,53.56,0.01,--,观察
2025-12-23,020635,1.6447,-10.11,55.81,0.1,--,观察
2025-12-17,015895,1.4361,-8.73,36.37,0.02,--,观察
2025-12-23,020398,1.6691,-8.64,65.72,0.72,--,观察
2025-12-17,002974,1.5355,-5.98,39.63,0.19,--,观察
2025-12-17,015676,1.6066,-5.22,39.51,0.31,--,观察
2025-12-23,016068,1.2064,-8.79,71.19,3.53,--,观察
2025-12-17,015337,1.2417,-5.26,40.13,-0.32,--,观察
2025-12-23,011145,1.886,-5.16,65.34,3.18,--,观察
2025-12-23,014143,8.439,-5.8,64.27,3.14,--,观察
2025-12-23,010214,1.0045,-5.54,60.49,0.53,--,观察
2025-12-23,008532,1.1206,-5.35,59.75,1.47,--,观察
2025-12-23,021031,1.7795,-10.33,61.28,0.45,--,观察
2025-12-17,012838,0.9137,-5.2,40.44,-0.35,--,观察
2025-12-22,006328,1.1301,-7.79,33.2,0.83,--,观察
2025-12-23,012429,1.1115,-6.5,55.65,1.16,--,观察
2025-12-23,001770,2.06,-6.36,51.93,0.64,--,观察
2025-12-23,019599,1.171,-10.23,53.3,0.02,--,观察
2025-12-17,011611,1.0282,-7.19,42.14,-0.03,--,观察
2025-12-23,013466,1.1775,-5.72,61.0,1.23,--,观察
2025-12-23,010655,1.0267,-7.83,52.93,0.1,--,观察
2025-12-17,014172,1.245,-6.88,28.07,-0.86,--,RSI
2025-12-17,014332,1.1356,-5.6,42.87,-0.22,--,观察
