date,net_value,equity_return,unit_money
2022-12-15,1.0,0.0,
2022-12-22,0.98,0.0,
2022-12-29,0.9941,0.0,
2022-12-30,0.994,-0.01,
2023-01-05,1.0432,0.0,
2023-01-08,1.0354,-0.75,
2023-01-09,1.0351,-0.03,
2023-01-10,1.0097,-2.45,
2023-01-11,1.0235,1.37,
2023-01-12,1.0137,-0.96,
2023-01-15,1.045,3.09,
2023-01-16,1.0424,-0.25,
2023-01-17,1.0776,3.38,
2023-01-18,1.1212,4.05,
2023-01-19,1.143,1.94,
2023-01-29,1.1462,0.28,
2023-01-30,1.1229,-2.03,
2023-01-31,1.151,2.5,
2023-02-01,1.1499,-0.1,
2023-02-02,1.1841,2.97,
2023-02-05,1.1973,1.11,
2023-02-06,1.1772,-1.68,
2023-02-07,1.1634,-1.17,
2023-02-08,1.1976,2.94,
2023-02-09,1.1754,-1.85,
2023-02-12,1.1782,0.24,
2023-02-13,1.1724,-0.49,
2023-02-14,1.2054,2.81,
2023-02-15,1.1882,-1.43,
2023-02-16,1.1287,-5.01,
2023-02-19,1.1612,2.88,
2023-02-20,1.1517,-0.82,
2023-02-21,1.1704,1.62,
2023-02-22,1.134,-3.11,
2023-02-23,1.1475,1.19,
2023-02-26,1.1356,-1.04,
2023-02-27,1.1623,2.35,
2023-02-28,1.2195,4.92,
2023-03-01,1.2192,-0.02,
2023-03-02,1.2124,-0.56,
2023-03-05,1.2129,0.04,
2023-03-06,1.183,-2.47,
2023-03-07,1.2094,2.23,
2023-03-08,1.2163,0.57,
2023-03-09,1.2169,0.05,
2023-03-12,1.2808,5.25,
2023-03-13,1.2808,0.0,
2023-03-14,1.2598,-1.64,
2023-03-15,1.2542,-0.44,
2023-03-16,1.308,4.29,
2023-03-19,1.2859,-1.69,
2023-03-20,1.2926,0.52,
2023-03-21,1.3208,2.18,
2023-03-22,1.3462,1.92,
2023-03-23,1.3554,0.68,
2023-03-26,1.3562,0.06,
2023-03-27,1.3611,0.36,
2023-03-28,1.3862,1.84,
2023-03-29,1.3693,-1.22,
2023-03-30,1.4002,2.26,
2023-04-02,1.4599,4.26,
2023-04-03,1.4884,1.95,
2023-04-05,1.4962,0.52,
2023-04-06,1.5249,1.92,
2023-04-09,1.456,-4.52,
2023-04-10,1.4771,1.45,
2023-04-11,1.518,2.77,
2023-04-12,1.4831,-2.3,
2023-04-13,1.4935,0.7,
2023-04-16,1.4798,-0.92,
2023-04-17,1.4908,0.74,
2023-04-18,1.507,1.09,
2023-04-19,1.5588,3.44,
2023-04-20,1.4656,-5.98,
2023-04-23,1.4424,-1.58,
2023-04-24,1.4509,0.59,
2023-04-25,1.3751,-5.22,
2023-04-26,1.3599,-1.11,
2023-04-27,1.4054,3.35,
2023-05-03,1.3872,-1.3,
2023-05-04,1.3962,0.65,
2023-05-07,1.4486,3.75,
2023-05-08,1.4426,-0.41,
2023-05-09,1.4029,-2.75,
2023-05-10,1.3663,-2.61,
2023-05-11,1.3514,-1.09,
2023-05-14,1.3443,-0.53,
2023-05-15,1.3039,-3.01,
2023-05-16,1.316,0.93,
2023-05-17,1.366,3.8,
2023-05-18,1.3421,-1.75,
2023-05-21,1.3245,-1.31,
2023-05-22,1.3028,-1.64,
2023-05-23,1.2926,-0.78,
2023-05-24,1.2978,0.4,
2023-05-25,1.3392,3.19,
2023-05-28,1.3452,0.45,
2023-05-29,1.3886,3.23,
2023-05-30,1.4244,2.58,
2023-05-31,1.4308,0.45,
2023-06-01,1.4161,-1.03,
2023-06-04,1.4234,0.52,
2023-06-05,1.3907,-2.3,
2023-06-06,1.4181,1.97,
2023-06-07,1.4011,-1.2,
2023-06-08,1.437,2.56,
2023-06-11,1.4328,-0.29,
2023-06-12,1.4666,2.36,
2023-06-13,1.4759,0.63,
2023-06-14,1.4586,-1.17,
2023-06-15,1.5232,4.43,
2023-06-18,1.5776,3.57,
2023-06-19,1.5975,1.26,
2023-06-20,1.5179,-4.98,
2023-06-25,1.4308,-5.74,
2023-06-26,1.453,1.55,
2023-06-27,1.4131,-2.75,
2023-06-28,1.437,1.69,
2023-06-29,1.4338,-0.22,
2023-07-02,1.4279,-0.41,
2023-07-03,1.4396,0.82,
2023-07-04,1.4245,-1.05,
2023-07-05,1.4182,-0.44,
2023-07-06,1.3886,-2.09,
2023-07-09,1.3882,-0.03,
2023-07-10,1.4063,1.3,
2023-07-11,1.3596,-3.32,
2023-07-12,1.3729,0.98,
2023-07-13,1.4178,3.27,
2023-07-16,1.4197,0.13,
2023-07-17,1.39,-2.09,
2023-07-18,1.3882,-0.13,
2023-07-19,1.3331,-3.97,
2023-07-20,1.3137,-1.46,
2023-07-23,1.3311,1.32,
2023-07-24,1.3325,0.11,
2023-07-25,1.3024,-2.26,
2023-07-26,1.2877,-1.13,
2023-07-27,1.2927,0.39,
2023-07-30,1.3053,0.97,
2023-07-31,1.3048,-0.04,
2023-08-01,1.3052,0.03,
2023-08-02,1.3069,0.13,
2023-08-03,1.3462,3.01,
2023-08-06,1.3518,0.42,
2023-08-07,1.3413,-0.78,
2023-08-08,1.3206,-1.54,
2023-08-09,1.3107,-0.75,
2023-08-10,1.2846,-1.99,
2023-08-13,1.324,3.07,
2023-08-14,1.2982,-1.95,
2023-08-15,1.2631,-2.7,
2023-08-16,1.282,1.5,
2023-08-17,1.2523,-2.32,
2023-08-20,1.2619,0.77,
2023-08-21,1.3168,4.35,
2023-08-22,1.2839,-2.5,
2023-08-23,1.2603,-1.84,
