Date,Net_Value,Cost_Nav,Profit_Rate(%),Decision,RSI,MACD,BB,Big_Trend,Reason,Fund_Code
2022-01-05,1.9375,1.833,5.7,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-06,1.9395,1.833,5.81,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-07,1.8935,1.833,3.3,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-10,1.8849,1.833,2.83,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-11,1.8562,1.833,1.27,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-12,1.9509,1.833,6.43,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-13,1.9114,1.833,4.28,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,死叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-14,1.9595,1.833,6.9,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-17,1.9875,1.833,8.43,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-18,1.9703,1.833,7.49,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
