基金代码,基金简称,总股票持仓市值_万,股票简称,占净值比例,持股数_万,持仓市值_万,持仓市值_亿
014143,银河创新成长混合C,1306623.65,中芯国际,9.94,1185.0,166054.05,16.6054
014143,银河创新成长混合C,1306623.65,兆易创新,9.3,729.0,155495.7,15.5496
014143,银河创新成长混合C,1306623.65,海光信息,9.29,615.0,155349.0,15.5349
014143,银河创新成长混合C,1306623.65,寒武纪,8.72,110.0,145750.0,14.575
014143,银河创新成长混合C,1306623.65,中微公司,8.05,450.0,134545.5,13.4546
014143,银河创新成长混合C,1306623.65,翱捷科技,7.94,1200.49,132653.85,13.2654
014143,银河创新成长混合C,1306623.65,思瑞浦,6.43,620.0,107470.8,10.7471
014143,银河创新成长混合C,1306623.65,华虹公司,6.37,930.0,106540.8,10.6541
014143,银河创新成长混合C,1306623.65,中科曙光,6.21,870.0,103747.5,10.3748
014143,银河创新成长混合C,1306623.65,瑞芯微,5.92,439.0,99016.45,9.9016
018957,中航机遇领航混合发起C,1022008.42,英维克,9.75,1612.67,128981.64,12.8982
018957,中航机遇领航混合发起C,1022008.42,新易盛,9.71,351.4,128531.29,12.8531
018957,中航机遇领航混合发起C,1022008.42,中际旭创,9.52,312.16,126013.72,12.6014
018957,中航机遇领航混合发起C,1022008.42,胜宏科技,9.18,425.26,121411.73,12.1412
018957,中航机遇领航混合发起C,1022008.42,源杰科技,9.05,279.07,119719.79,11.972
018957,中航机遇领航混合发起C,1022008.42,天孚通信,8.85,697.58,117054.26,11.7054
018957,中航机遇领航混合发起C,1022008.42,沪电股份,5.52,993.64,73002.67,7.3003
018957,中航机遇领航混合发起C,1022008.42,光库科技,5.45,606.69,72074.32,7.2074
018957,中航机遇领航混合发起C,1022008.42,德科立,5.16,564.45,68310.17,6.831
018957,中航机遇领航混合发起C,1022008.42,东山精密,5.06,935.79,66908.83,6.6909
015751,景顺长城品质长青混合C,982368.79,泡泡玛特,8.12,475.14,115736.06,11.5736
015751,景顺长城品质长青混合C,982368.79,工业富联,7.62,1644.25,108536.98,10.8537
015751,景顺长城品质长青混合C,982368.79,小米集团-W,7.59,2193.36,108134.67,10.8135
015751,景顺长城品质长青混合C,982368.79,新易盛,7.5,292.19,106873.28,10.6873
015751,景顺长城品质长青混合C,982368.79,水晶光电,7.29,3928.99,103882.62,10.3883
015751,景顺长城品质长青混合C,982368.79,腾讯控股,6.74,158.59,95995.44,9.5995
015751,景顺长城品质长青混合C,982368.79,九号公司,6.18,1321.64,88093.54,8.8094
015751,景顺长城品质长青混合C,982368.79,老铺黄金,6.02,131.91,85747.01,8.5747
015751,景顺长城品质长青混合C,982368.79,高伟电子,5.97,2387.0,84992.05,8.4992
015751,景顺长城品质长青混合C,982368.79,蓝思科技,5.92,2520.23,84377.14,8.4377
005491,兴全合宜混合(LOF)C,914509.44,信达生物,7.54,1600.13,140829.48,14.0829
005491,兴全合宜混合(LOF)C,914509.44,中际旭创,5.58,258.01,104153.88,10.4154
005491,兴全合宜混合(LOF)C,914509.44,巨化股份,5.4,2522.52,100926.01,10.0926
005491,兴全合宜混合(LOF)C,914509.44,晶晨股份,5.33,896.14,99632.34,9.9632
005491,兴全合宜混合(LOF)C,914509.44,立讯精密,5.08,1467.79,94951.48,9.4951
005491,兴全合宜混合(LOF)C,914509.44,中芯国际,4.71,1211.42,87982.11,8.7982
005491,兴全合宜混合(LOF)C,914509.44,诺诚健华,4.37,4779.1,81679.53,8.168
005491,兴全合宜混合(LOF)C,914509.44,澜起科技,4.07,491.55,76091.35,7.6091
005491,兴全合宜混合(LOF)C,914509.44,东山精密,3.5,913.58,65320.99,6.5321
005491,兴全合宜混合(LOF)C,914509.44,宁德时代,3.37,156.57,62942.27,6.2942
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,英伟达,9.9,85.29,113075.64,11.3076
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,微软,8.06,25.01,92057.4,9.2057
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,特斯拉,7.91,28.58,90313.18,9.0313
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,苹果,7.85,49.53,89608.07,8.9608
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,博通,6.87,33.48,78471.51,7.8472
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,谷歌-C,5.98,39.46,68294.9,6.8295
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,迈威尔科技,5.68,108.68,64923.23,6.4923
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,奈飞,5.54,7.42,63230.88,6.3231
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,Meta Platforms Inc-A,5.51,12.06,62920.3,6.292
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,亚马逊,5.51,40.3,62881.25,6.2881
