,基金简称,优仓数目_所属基金数,优仓数目_被持仓市值,平均占比,基金代码,日增长率,近1周,近1月,近3月,近半年,近1年,近2年,近3年,今年来,成立来
2431,简称缺失,6,4,3,013010,,,,,,,,,,
2400,简称缺失,6,4,3,015683,,,,,,,,,,
2401,简称缺失,6,4,3,015642,,,,,,,,,,
2370,简称缺失,6,4,3,020398,,,,,,,,,,
2371,简称缺失,6,4,3,019514,,,,,,,,,,
2372,简称缺失,6,4,3,015389,,,,,,,,,,
2373,简称缺失,6,4,3,020662,,,,,,,,,,
2374,简称缺失,6,4,3,015290,,,,,,,,,,
2375,简称缺失,6,4,3,015857,,,,,,,,,,
2408,简称缺失,6,4,3,014855,,,,,,,,,,
2409,简称缺失,6,4,3,014728,,,,,,,,,,
2410,简称缺失,6,4,3,014662,,,,,,,,,,
14125,简称缺失,6,5,1,010655,,,,,,,,,,
2444,简称缺失,6,4,3,011613,,,,,,,,,,
2445,简称缺失,6,4,3,011609,,,,,,,,,,
2446,简称缺失,6,4,3,011584,,,,,,,,,,
2447,简称缺失,6,4,3,011499,,,,,,,,,,
2416,简称缺失,6,4,3,014243,,,,,,,,,,
2417,简称缺失,6,4,3,014162,,,,,,,,,,
2386,简称缺失,6,4,3,016465,,,,,,,,,,
2387,简称缺失,6,4,3,016371,,,,,,,,,,
2388,简称缺失,6,4,3,016283,,,,,,,,,,
2389,简称缺失,6,4,3,016238,,,,,,,,,,
2390,简称缺失,6,4,3,016068,,,,,,,,,,
2391,简称缺失,6,4,3,016049,,,,,,,,,,
2424,简称缺失,6,4,3,013620,,,,,,,,,,
2443,简称缺失,6,4,3,011615,,,,,,,,,,
2380,简称缺失,6,4,3,019548,,,,,,,,,,
2381,简称缺失,6,4,3,018994,,,,,,,,,,
2382,简称缺失,6,4,3,017811,,,,,,,,,,
2383,简称缺失,6,4,3,017437,,,,,,,,,,
2395,简称缺失,6,4,3,015877,,,,,,,,,,
2396,简称缺失,6,4,3,015868,,,,,,,,,,
2397,简称缺失,6,4,3,015751,,,,,,,,,,
2398,简称缺失,6,4,3,015690,,,,,,,,,,
2399,简称缺失,6,4,3,015686,,,,,,,,,,
2368,简称缺失,6,4,3,020635,,,,,,,,,,
2369,简称缺失,6,4,3,021031,,,,,,,,,,
2376,简称缺失,6,4,3,021500,,,,,,,,,,
2377,简称缺失,6,4,3,008888,,,,,,,,,,
2430,简称缺失,6,4,3,013277,,,,,,,,,,
2411,简称缺失,6,4,3,014642,,,,,,,,,,
2412,简称缺失,6,4,3,014544,,,,,,,,,,
2413,简称缺失,6,4,3,014377,,,,,,,,,,
2414,简称缺失,6,4,3,014345,,,,,,,,,,
2415,简称缺失,6,4,3,014320,,,,,,,,,,
2384,简称缺失,6,4,3,016616,,,,,,,,,,
2385,简称缺失,6,4,3,016600,,,,,,,,,,
2392,简称缺失,6,4,3,015971,,,,,,,,,,
2393,简称缺失,6,4,3,015968,,,,,,,,,,
2394,简称缺失,6,4,3,015947,,,,,,,,,,
2427,简称缺失,6,4,3,013340,,,,,,,,,,
2428,简称缺失,6,4,3,013311,,,,,,,,,,
2429,简称缺失,6,4,3,013305,,,,,,,,,,
2378,简称缺失,6,4,3,519022,,,,,,,,,,
2422,简称缺失,6,4,3,013811,,,,,,,,,,
2423,简称缺失,6,4,3,013642,,,,,,,,,,
2456,简称缺失,6,4,3,011145,,,,,,,,,,
2457,简称缺失,6,4,3,011120,,,,,,,,,,
2458,简称缺失,6,4,3,011117,,,,,,,,,,
2491,简称缺失,6,4,3,007950,,,,,,,,,,
2492,简称缺失,6,4,3,007818,,,,,,,,,,
2493,简称缺失,6,4,3,007509,,,,,,,,,,
2494,简称缺失,6,4,3,007491,,,,,,,,,,
2495,简称缺失,6,4,3,007465,,,,,,,,,,
2464,简称缺失,6,4,3,010655,,,,,,,,,,
2465,简称缺失,6,4,3,010422,,,,,,,,,,
2434,简称缺失,6,4,3,012895,,,,,,,,,,
2425,简称缺失,6,4,3,013533,,,,,,,,,,
2436,简称缺失,6,4,3,012651,,,,,,,,,,
2437,简称缺失,6,4,3,012630,,,,,,,,,,
2438,简称缺失,6,4,3,012553,,,,,,,,,,
2439,简称缺失,6,4,3,012429,,,,,,,,,,
2472,简称缺失,6,4,3,009727,,,,,,,,,,
2473,简称缺失,6,4,3,009708,,,,,,,,,,
2474,简称缺失,6,4,3,009505,,,,,,,,,,
2507,简称缺失,6,4,3,005919,,,,,,,,,,
2508,简称缺失,6,4,3,005763,,,,,,,,,,
2509,简称缺失,6,4,3,005633,,,,,,,,,,
2510,简称缺失,6,4,3,005491,,,,,,,,,,
2511,简称缺失,6,4,3,005300,,,,,,,,,,
2480,简称缺失,6,4,3,008920,,,,,,,,,,
2435,简称缺失,6,4,3,012734,,,,,,,,,,
2426,简称缺失,6,4,3,013466,,,,,,,,,,
2459,简称缺失,6,4,3,011068,,,,,,,,,,
2460,简称缺失,6,4,3,011036,,,,,,,,,,
2461,简称缺失,6,4,3,010865,,,,,,,,,,
2462,简称缺失,6,4,3,010827,,,,,,,,,,
2463,简称缺失,6,4,3,010791,,,,,,,,,,
2432,简称缺失,6,4,3,012970,,,,,,,,,,
2433,简称缺失,6,4,3,012908,,,,,,,,,,
2402,简称缺失,6,4,3,015508,,,,,,,,,,
2403,简称缺失,6,4,3,015454,,,,,,,,,,
2404,简称缺失,6,4,3,015144,,,,,,,,,,
2405,简称缺失,6,4,3,015039,,,,,,,,,,
2406,简称缺失,6,4,3,014985,,,,,,,,,,
2421,简称缺失,6,4,3,013841,,,,,,,,,,
2440,简称缺失,6,4,3,012125,,,,,,,,,,
2441,简称缺失,6,4,3,011892,,,,,,,,,,
2442,简称缺失,6,4,3,011840,,,,,,,,,,
2475,简称缺失,6,4,3,009478,,,,,,,,,,
2476,简称缺失,6,4,3,009034,,,,,,,,,,
2477,简称缺失,6,4,3,008989,,,,,,,,,,
2478,简称缺失,6,4,3,008987,,,,,,,,,,
2479,简称缺失,6,4,3,008981,,,,,,,,,,
2448,简称缺失,6,4,3,011452,,,,,,,,,,
2449,简称缺失,6,4,3,011412,,,,,,,,,,
2418,简称缺失,6,4,3,014156,,,,,,,,,,
2419,简称缺失,6,4,3,014143,,,,,,,,,,
2420,简称缺失,6,4,3,014130,,,,,,,,,,
2407,简称缺失,6,4,3,014954,,,,,,,,,,
14096,简称缺失,6,5,1,012734,,,,,,,,,,
14127,简称缺失,6,5,1,010392,,,,,,,,,,
14094,简称缺失,6,5,1,012908,,,,,,,,,,
14093,简称缺失,6,5,1,012970,,,,,,,,,,
14092,简称缺失,6,5,1,013010,,,,,,,,,,
14091,简称缺失,6,5,1,013277,,,,,,,,,,
14090,简称缺失,6,5,1,013305,,,,,,,,,,
14089,简称缺失,6,5,1,013311,,,,,,,,,,
14088,简称缺失,6,5,1,013340,,,,,,,,,,
14087,简称缺失,6,5,1,013466,,,,,,,,,,
14086,简称缺失,6,5,1,013533,,,,,,,,,,
14085,简称缺失,6,5,1,013620,,,,,,,,,,
2379,简称缺失,6,4,3,160424,,,,,,,,,,
14083,简称缺失,6,5,1,013811,,,,,,,,,,
14082,简称缺失,6,5,1,013841,,,,,,,,,,
14081,简称缺失,6,5,1,014130,,,,,,,,,,
14080,简称缺失,6,5,1,014143,,,,,,,,,,
14111,简称缺失,6,5,1,011400,,,,,,,,,,
14078,简称缺失,6,5,1,014162,,,,,,,,,,
14077,简称缺失,6,5,1,014243,,,,,,,,,,
14076,简称缺失,6,5,1,014320,,,,,,,,,,
14075,简称缺失,6,5,1,014345,,,,,,,,,,
14074,简称缺失,6,5,1,014377,,,,,,,,,,
14073,简称缺失,6,5,1,014544,,,,,,,,,,
14072,简称缺失,6,5,1,014642,,,,,,,,,,
14071,简称缺失,6,5,1,014662,,,,,,,,,,
14084,简称缺失,6,5,1,013642,,,,,,,,,,
14124,简称缺失,6,5,1,010791,,,,,,,,,,
14123,简称缺失,6,5,1,010827,,,,,,,,,,
14122,简称缺失,6,5,1,010865,,,,,,,,,,
14121,简称缺失,6,5,1,011036,,,,,,,,,,
14120,简称缺失,6,5,1,011068,,,,,,,,,,
14119,简称缺失,6,5,1,011117,,,,,,,,,,
14118,简称缺失,6,5,1,011120,,,,,,,,,,
14117,简称缺失,6,5,1,011145,,,,,,,,,,
14116,简称缺失,6,5,1,011237,,,,,,,,,,
14115,简称缺失,6,5,1,011301,,,,,,,,,,
14114,简称缺失,6,5,1,011306,,,,,,,,,,
14113,简称缺失,6,5,1,011329,,,,,,,,,,
14112,简称缺失,6,5,1,011370,,,,,,,,,,
14097,简称缺失,6,5,1,012651,,,,,,,,,,
14110,简称缺失,6,5,1,011412,,,,,,,,,,
14109,简称缺失,6,5,1,011452,,,,,,,,,,
14108,简称缺失,6,5,1,011499,,,,,,,,,,
14107,简称缺失,6,5,1,011584,,,,,,,,,,
14106,简称缺失,6,5,1,011609,,,,,,,,,,
14105,简称缺失,6,5,1,011613,,,,,,,,,,
14104,简称缺失,6,5,1,011615,,,,,,,,,,
14103,简称缺失,6,5,1,011840,,,,,,,,,,
14102,简称缺失,6,5,1,011892,,,,,,,,,,
14101,简称缺失,6,5,1,012125,,,,,,,,,,
14100,简称缺失,6,5,1,012429,,,,,,,,,,
14099,简称缺失,6,5,1,012553,,,,,,,,,,
14098,简称缺失,6,5,1,012630,,,,,,,,,,
14143,简称缺失,6,5,1,008532,,,,,,,,,,
14041,简称缺失,6,5,1,019548,,,,,,,,,,
14040,简称缺失,6,5,1,160424,,,,,,,,,,
14039,简称缺失,6,5,1,519022,,,,,,,,,,
14038,简称缺失,6,5,1,008888,,,,,,,,,,
14037,简称缺失,6,5,1,021500,,,,,,,,,,
14036,简称缺失,6,5,1,015857,,,,,,,,,,
14035,简称缺失,6,5,1,015290,,,,,,,,,,
14034,简称缺失,6,5,1,020662,,,,,,,,,,
14033,简称缺失,6,5,1,015389,,,,,,,,,,
14032,简称缺失,6,5,1,019514,,,,,,,,,,
14063,简称缺失,6,5,1,015508,,,,,,,,,,
14031,简称缺失,6,5,1,020398,,,,,,,,,,
14030,简称缺失,6,5,1,021031,,,,,,,,,,
14070,简称缺失,6,5,1,014728,,,,,,,,,,
14028,简称缺失,6,5,1,018957,,,,,,,,,,
14027,简称缺失,6,5,1,009645,,,,,,,,,,
14047,简称缺失,6,5,1,016465,,,,,,,,,,
14126,简称缺失,6,5,1,010422,,,,,,,,,,
14159,简称缺失,6,5,1,007301,,,,,,,,,,
14128,简称缺失,6,5,1,010372,,,,,,,,,,
14129,简称缺失,6,5,1,010236,,,,,,,,,,
14130,简称缺失,6,5,1,010214,,,,,,,,,,
14131,简称缺失,6,5,1,010004,,,,,,,,,,
14132,简称缺失,6,5,1,009995,,,,,,,,,,
14133,简称缺失,6,5,1,009727,,,,,,,,,,
2366,简称缺失,6,4,3,009645,,,,,,,,,,
2367,简称缺失,6,4,3,018957,,,,,,,,,,
14029,简称缺失,6,5,1,020635,,,,,,,,,,
14069,简称缺失,6,5,1,014855,,,,,,,,,,
14068,简称缺失,6,5,1,014954,,,,,,,,,,
14067,简称缺失,6,5,1,014985,,,,,,,,,,
14066,简称缺失,6,5,1,015039,,,,,,,,,,
14065,简称缺失,6,5,1,015144,,,,,,,,,,
14064,简称缺失,6,5,1,015454,,,,,,,,,,
14095,简称缺失,6,5,1,012895,,,,,,,,,,
14062,简称缺失,6,5,1,015642,,,,,,,,,,
14061,简称缺失,6,5,1,015683,,,,,,,,,,
14060,简称缺失,6,5,1,015686,,,,,,,,,,
14059,简称缺失,6,5,1,015690,,,,,,,,,,
14058,简称缺失,6,5,1,015751,,,,,,,,,,
14057,简称缺失,6,5,1,015868,,,,,,,,,,
14042,简称缺失,6,5,1,018994,,,,,,,,,,
