基金代码,基金简称,股票简称,占净值比例,持股数_万,持仓市值_万
018994,简称缺失,新易盛,9.41,335.13,122579.04
018994,简称缺失,阿里巴巴-W,8.99,724.57,117090.51
018994,简称缺失,中际旭创,8.63,278.48,112416.81
018994,简称缺失,天孚通信,5.06,392.59,65877.22
018994,简称缺失,新泉股份,5.04,790.4,65635.19
018994,简称缺失,三花智控,4.4,1184.24,57352.91
018994,简称缺失,腾讯控股,4.24,91.31,55270.86
018994,简称缺失,中芯国际,3.52,631.95,45898.53
018994,简称缺失,沪电股份,3.45,611.41,44920.24
018994,简称缺失,生益科技,3.39,818.19,44198.83
008888,简称缺失,北方华创,0.02,0.8,361.89
008888,简称缺失,紫光国微,0.01,1.6,144.5
008888,简称缺失,华电新能,0.01,25.46,134.15
008888,简称缺失,通富微电,0.01,2.6,104.44
008888,简称缺失,圣邦股份,0.01,1.0,83.29
008888,简称缺失,北京君正,0.0,0.8,71.21
008888,简称缺失,华天科技,0.0,5.8,68.32
008888,简称缺失,卓胜微,0.0,0.8,66.5
008888,简称缺失,景嘉微,0.0,0.8,66.2
008888,简称缺失,晶盛机电,0.0,1.4,63.71
017437,简称缺失,英伟达,9.9,85.29,113075.64
017437,简称缺失,微软,8.06,25.01,92057.4
017437,简称缺失,特斯拉,7.91,28.58,90313.18
017437,简称缺失,苹果,7.85,49.53,89608.07
017437,简称缺失,博通,6.87,33.48,78471.51
017437,简称缺失,谷歌-C,5.98,39.46,68294.9
017437,简称缺失,迈威尔科技,5.68,108.68,64923.23
017437,简称缺失,奈飞,5.54,7.42,63230.88
017437,简称缺失,Meta Platforms Inc-A,5.51,12.06,62920.3
017437,简称缺失,亚马逊,5.51,40.3,62881.25
015290,简称缺失,中国燃气,7.15,1015.72,7086.55
015290,简称缺失,中简科技,7.06,198.59,7000.38
015290,简称缺失,视源股份,5.49,136.76,5443.19
015290,简称缺失,力诺药包,5.45,314.33,5409.58
015290,简称缺失,东方雨虹,5.37,432.7,5330.84
015290,简称缺失,申洲国际,5.17,90.77,5123.67
015290,简称缺失,美埃科技,5.01,97.85,4970.54
015290,简称缺失,中国东方教育,4.26,604.2,4226.49
015290,简称缺失,敏实集团,4.0,128.0,3963.6
015290,简称缺失,思维列控,3.97,117.56,3938.14
015857,简称缺失,海目星,8.42,5.02,211.09
015857,简称缺失,中简科技,8.14,5.79,204.1
015857,简称缺失,凯赛生物,8.07,3.89,202.44
015857,简称缺失,华恒生物,7.79,5.8,195.46
015857,简称缺失,联赢激光,7.69,7.26,192.75
015857,简称缺失,中国燃气,7.49,26.94,187.96
015857,简称缺失,炬光科技,7.49,1.23,187.78
015857,简称缺失,杭可科技,7.2,4.94,180.62
015857,简称缺失,英诺激光,7.07,4.49,177.27
015857,简称缺失,ST逸飞,6.85,5.3,171.83
160424,简称缺失,赢时胜,0.03,0.48,5.38
160424,简称缺失,安科生物,0.02,0.35,5.27
160424,简称缺失,三环集团,0.0,0.05,1.0
160424,简称缺失,机器人,0.0,0.01,0.14
020398,简称缺失,康方生物,8.69,152.07,19603.26
020398,简称缺失,百济神州,8.63,103.94,19471.79
020398,简称缺失,信达生物,8.53,218.67,19245.43
020398,简称缺失,科伦博泰生物-B,8.38,40.27,18897.57
020398,简称缺失,翰森制药,8.16,558.86,18398.94
020398,简称缺失,映恩生物-B,7.36,50.05,16614.57
020398,简称缺失,恒瑞医药,6.92,192.52,15608.1
020398,简称缺失,诺诚健华,4.6,607.5,10382.77
020398,简称缺失,荣昌生物,4.38,92.26,9871.66
020398,简称缺失,中国生物制药,4.18,1267.46,9419.31
015389,简称缺失,新易盛,7.95,32.47,11876.04
015389,简称缺失,中际旭创,7.64,28.28,11416.07
015389,简称缺失,胜宏科技,7.35,38.49,10988.9
015389,简称缺失,天孚通信,5.63,50.12,8410.74
015389,简称缺失,隆盛科技,4.97,117.89,7422.35
015389,简称缺失,立讯精密,4.63,107.07,6926.36
015389,简称缺失,震裕科技,4.46,35.43,6667.29
015389,简称缺失,蓝思科技,3.99,178.02,5960.11
015389,简称缺失,巨人网络,3.96,130.97,5917.22
015389,简称缺失,工业富联,3.91,88.51,5842.55
