基金代码,基金名称,单位净值,日增长率,近1月收益,近3月收益,近1年收益,更新时间
015857,未知,1.6037,1.05,0.0,0.0,0.0,2025-10-31
019514,未知,2.6451,-4.12,0.0,0.0,0.0,2025-10-31
020398,未知,1.7402,4.45,0.0,0.0,0.0,2025-10-31
021500,未知,2.675,-3.29,0.0,0.0,0.0,2025-10-31
015389,未知,2.2355,-4.2,0.0,0.0,0.0,2025-10-31
015290,未知,1.7335,-0.44,0.0,0.0,0.0,2025-10-31
018957,未知,2.978,-5.37,0.0,0.0,0.0,2025-10-31
021031,未知,1.8786,3.47,0.0,0.0,0.0,2025-10-31
020662,未知,1.8985,-4.82,0.0,0.0,0.0,2025-10-31
020635,未知,1.7564,2.15,0.0,0.0,0.0,2025-10-31
019548,未知,1.4274,-1.35,0.0,0.0,0.0,2025-10-30
008888,未知,1.5243,-3.79,0.0,0.0,0.0,2025-10-31
018994,未知,2.9349,-4.15,0.0,0.0,0.0,2025-10-31
519022,未知,2.7558,0.13,0.0,0.0,0.0,2025-10-31
016616,未知,4.0543,1.03,0.0,0.0,0.0,2025-10-31
016600,未知,4.4389,-2.07,0.0,0.0,0.0,2025-10-31
017437,未知,2.3126,-2.24,0.0,0.0,0.0,2025-10-30
017811,未知,1.457,-5.2,0.0,0.0,0.0,2025-10-31
016465,未知,1.1723,-0.92,0.0,0.0,0.0,2025-10-31
016371,未知,1.5438,-6.23,0.0,0.0,0.0,2025-10-31
016238,未知,1.4181,-2.79,0.0,0.0,0.0,2025-10-31
016068,未知,1.2601,0.92,0.0,0.0,0.0,2025-10-31
015971,未知,1.5016,-3.49,0.0,0.0,0.0,2025-10-31
016283,未知,1.375,-0.15,0.0,0.0,0.0,2025-10-31
016049,未知,2.0255,-1.59,0.0,0.0,0.0,2025-10-31
015968,未知,1.636,-2.81,0.0,0.0,0.0,2025-10-31
015877,未知,1.5946,-3.28,0.0,0.0,0.0,2025-10-31
015947,未知,1.788,-1.59,0.0,0.0,0.0,2025-10-31
015868,未知,1.4461,0.31,0.0,0.0,0.0,2025-10-31
015751,未知,1.7091,-3.4,0.0,0.0,0.0,2025-10-31
015690,未知,4.784,-3.33,0.0,0.0,0.0,2025-10-31
015686,未知,3.624,-4.63,0.0,0.0,0.0,2025-10-31
015683,未知,2.052,-3.44,0.0,0.0,0.0,2025-10-31
015642,未知,1.7407,-0.07,0.0,0.0,0.0,2025-10-31
015152,未知,1.6714,-3.15,0.0,0.0,0.0,2025-10-31
015454,未知,1.3482,-0.64,0.0,0.0,0.0,2025-10-31
015508,未知,1.2784,-0.61,0.0,0.0,0.0,2025-10-31
014985,未知,1.7499,-2.76,0.0,0.0,0.0,2025-10-31
015039,未知,0.5647,-0.86,0.0,0.0,0.0,2025-10-31
014662,未知,2.0555,1.25,0.0,0.0,0.0,2025-10-31
015144,未知,1.7927,-1.74,0.0,0.0,0.0,2025-10-31
014642,未知,8.7069,-2.84,0.0,0.0,0.0,2025-10-31
014728,未知,2.2621,-3.32,0.0,0.0,0.0,2025-10-31
014544,未知,1.6729,-3.06,0.0,0.0,0.0,2025-10-31
014855,未知,1.8867,-3.85,0.0,0.0,0.0,2025-10-31
014320,未知,1.9273,-3.48,0.0,0.0,0.0,2025-10-31
014345,未知,1.4252,-0.61,0.0,0.0,0.0,2025-10-31
014162,未知,3.4613,-2.76,0.0,0.0,0.0,2025-10-31
014243,未知,2.035,-0.91,0.0,0.0,0.0,2025-10-31
014156,未知,1.2703,-0.46,0.0,0.0,0.0,2025-10-31
014130,未知,1.7458,-1.53,0.0,0.0,0.0,2025-10-31
014143,未知,9.0704,-3.94,0.0,0.0,0.0,2025-10-31
013841,未知,1.4358,-4.08,0.0,0.0,0.0,2025-10-31
013533,未知,2.3333,-1.94,0.0,0.0,0.0,2025-10-31
013811,未知,0.988,-2.97,0.0,0.0,0.0,2025-10-31
013620,未知,3.956,-1.2,0.0,0.0,0.0,2025-10-31
013642,未知,1.435,-0.95,0.0,0.0,0.0,2025-10-31
013340,未知,1.2583,-3.77,0.0,0.0,0.0,2025-10-31
013466,未知,1.3331,-1.42,0.0,0.0,0.0,2025-10-31
013311,未知,1.018,-3.94,0.0,0.0,0.0,2025-10-31
013305,未知,1.0736,-3.91,0.0,0.0,0.0,2025-10-31
013010,未知,1.0803,-1.85,0.0,0.0,0.0,2025-10-31
013277,未知,1.1428,-2.18,0.0,0.0,0.0,2025-10-31
012970,未知,1.0812,-3.77,0.0,0.0,0.0,2025-10-31
012908,未知,1.0197,-3.99,0.0,0.0,0.0,2025-10-31
012922,未知,2.4719,-0.96,0.0,0.0,0.0,2025-10-30
012895,未知,0.9949,-3.97,0.0,0.0,0.0,2025-10-31
012734,未知,1.7179,-3.1,0.0,0.0,0.0,2025-10-31
012630,未知,1.0406,-3.8,0.0,0.0,0.0,2025-10-31
012553,未知,1.1229,-3.61,0.0,0.0,0.0,2025-10-31
012651,未知,1.242,-3.64,0.0,0.0,0.0,2025-10-31
012429,未知,1.2209,-2.98,0.0,0.0,0.0,2025-10-31
