基金代码,基金名称,单位净值,日增长率,近1月收益,近3月收益,近1年收益,更新时间
012429,华夏核心制造混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012734,易方达中证人工智能主题ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012553,天弘芯片产业ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012651,博时半导体主题混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011840,天弘中证人工智能C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011823,易方达产业升级混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011892,易方达先锋成长混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012630,广发国证半导体芯片ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011613,华夏科创50ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011615,工银科创ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011452,华泰柏瑞质量成长C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011584,大成港股精选混合(QDII)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011499,富国沪深300基本面精选股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011412,易方达远见成长混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011609,易方达上证科创50联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011329,景顺长城新能源产业股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011400,汇添富数字未来混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011306,富国低碳新经济混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011370,华商均衡成长混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011120,富国创新科技混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011237,摩根行业睿选股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010791,海富通均衡甄选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011036,嘉实中证稀土产业ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011301,易方达智造优势混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011068,华宝资源优选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011117,富国沪港深业绩驱动混合型C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011145,华安汇宏精选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010827,大成产业趋势混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010236,广发电子信息传媒股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010214,中欧互联网先锋混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010392,易方达战略新兴产业股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010004,景顺长城电子信息产业股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010372,大成成长进取混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010422,海富通消费优选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009727,招商中证500等权重指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010865,泓德卓远混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009995,嘉实创新先锋混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009708,工银新兴制造混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009478,中银上海金ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010655,天弘医药创新C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008920,永赢科技驱动C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008989,大成科技创新混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008981,中邮科技创新精选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008419,惠升惠泽混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008586,华夏人工智能ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008532,惠升惠民混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009505,富国上海金ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008327,东财通信C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008987,广发上海金ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009034,建信上海金ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008282,国泰CES半导体芯片行业ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008187,淳厚信睿混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008319,博道久航混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007950,招商量化精选股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008021,华富中证人工智能产业ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008087,华夏中证5G通信主题ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008182,方正富邦信泓混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007818,国泰中证全指通信设备ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007509,华商润丰灵活配置混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007029,易方达中证500ETF联接发起式C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007356,汇添富科技创新混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007465,交银创业板50指数C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007491,南方信息创新混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007127,博道远航混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006888,诺德新生活混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006503,财通集成电路产业股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007301,国联安中证半导体ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006594,博道中证500增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006166,建信中证1000指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
005963,宝盈人工智能股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
