date,net_value,equity_return,unit_money
2022-12-12,1.0,0.0,
2022-12-15,0.9962,0.0,
2022-12-18,0.9859,-1.03,
2022-12-19,0.9905,0.47,
2022-12-20,0.97,-2.07,
2022-12-21,0.9478,-2.29,
2022-12-22,0.9354,-1.31,
2022-12-25,0.9663,3.3,
2022-12-26,0.9733,0.72,
2022-12-27,0.9609,-1.27,
2022-12-28,0.959,-0.2,
2022-12-29,0.9539,-0.53,
2022-12-30,0.9538,-0.01,
2023-01-02,0.9809,2.83,
2023-01-03,0.9737,-0.73,
2023-01-04,0.9867,1.34,
2023-01-05,0.9947,0.81,
2023-01-08,0.9963,0.16,
2023-01-09,0.992,-0.43,
2023-01-10,0.9787,-1.34,
2023-01-11,0.9891,1.06,
2023-01-12,0.9844,-0.48,
2023-01-15,0.9938,0.95,
2023-01-16,0.9994,0.56,
2023-01-17,1.0099,1.05,
2023-01-18,1.0199,0.99,
2023-01-19,1.0338,1.36,
2023-01-29,1.0447,1.05,
2023-01-30,1.0539,0.88,
2023-01-31,1.0682,1.36,
2023-02-01,1.0733,0.48,
2023-02-02,1.0747,0.13,
2023-02-05,1.0649,-0.91,
2023-02-06,1.095,2.83,
2023-02-07,1.0802,-1.35,
2023-02-08,1.0909,0.99,
2023-02-09,1.0832,-0.71,
2023-02-12,1.091,0.72,
2023-02-13,1.087,-0.37,
2023-02-14,1.0843,-0.25,
2023-02-15,1.0598,-2.26,
2023-02-16,1.0479,-1.12,
2023-02-19,1.0576,0.93,
2023-02-20,1.0645,0.65,
2023-02-21,1.0621,-0.23,
2023-02-22,1.0627,0.06,
2023-02-23,1.052,-1.01,
2023-02-26,1.0404,-1.1,
2023-02-27,1.0481,0.74,
2023-02-28,1.0562,0.77,
2023-03-01,1.0519,-0.41,
2023-03-02,1.0492,-0.26,
2023-03-05,1.0526,0.32,
2023-03-06,1.0244,-2.68,
2023-03-07,1.0289,0.44,
2023-03-08,1.0231,-0.56,
2023-03-09,1.0087,-1.41,
2023-03-12,1.0128,0.41,
2023-03-13,0.9969,-1.57,
2023-03-14,1.005,0.81,
2023-03-15,0.9837,-2.12,
2023-03-16,0.9859,0.22,
2023-03-19,0.9854,-0.05,
2023-03-20,1.0015,1.63,
2023-03-21,1.001,-0.05,
2023-03-22,1.0073,0.63,
2023-03-23,1.0187,1.13,
2023-03-26,1.0297,1.08,
2023-03-27,1.014,-1.52,
2023-03-28,1.0148,0.08,
2023-03-29,1.0142,-0.06,
2023-03-30,1.022,0.77,
2023-04-02,1.0445,2.2,
2023-04-03,1.0374,-0.68,
2023-04-05,1.06,2.18,
2023-04-06,1.0665,0.61,
2023-04-09,1.0714,0.46,
2023-04-10,1.0636,-0.73,
2023-04-11,1.0726,0.85,
2023-04-12,1.0483,-2.27,
2023-04-13,1.0519,0.34,
2023-04-16,1.0549,0.29,
2023-04-17,1.0515,-0.32,
2023-04-18,1.0388,-1.21,
2023-04-19,1.0397,0.09,
2023-04-20,1.026,-1.32,
2023-04-23,1.0101,-1.55,
2023-04-24,0.9689,-4.08,
2023-04-25,0.9766,0.79,
2023-04-26,0.9717,-0.5,
2023-04-27,0.9805,0.91,
2023-05-03,0.9777,-0.29,
2023-05-04,0.9588,-1.93,
2023-05-07,0.9655,0.7,
2023-05-08,0.9477,-1.84,
2023-05-09,0.9535,0.61,
2023-05-10,0.958,0.47,
