基金简称,资产规模,基金类型,最新日涨跌幅,最新净值,管理费率,基金代码,起始日期,结束日期,年化收益率(总),年化标准差(总),最大回撤(MDD),夏普比率(总),平均滚动年化收益率(1月),平均滚动年化收益率(1季度),平均滚动年化收益率(半年),平均滚动年化收益率(1年)
,,,,,,所有基金共同分析期：2022-09-26 到 2025-11-07,,,,,,,,,,
名称查找失败(014662),N/A,N/A,N/A,N/A,N/A,014662,2022-03-02,2025-11-07,22.31%,12.58%,-10.74%,1.614,24.41%,22.18%,22.92%,23.23%
名称查找失败(008987),N/A,N/A,N/A,N/A,N/A,008987,2020-08-05,2025-11-07,14.07%,12.51%,-15.71%,0.965,15.16%,14.06%,14.28%,14.38%
名称查找失败(015677),N/A,N/A,N/A,N/A,N/A,015677,2022-05-20,2025-11-07,15.82%,18.35%,-19.91%,0.753,14.34%,12.21%,9.24%,7.24%
名称查找失败(160424),N/A,N/A,N/A,N/A,N/A,160424,2019-05-21,2025-11-07,16.97%,26.27%,-51.79%,0.570,17.20%,15.87%,12.63%,9.58%
名称查找失败(007413),N/A,N/A,N/A,N/A,N/A,007413,2019-05-09,2025-11-07,12.69%,19.28%,-34.76%,0.554,12.48%,12.08%,10.64%,9.38%
名称查找失败(008400),N/A,N/A,N/A,N/A,N/A,008400,2020-02-26,2025-11-07,13.89%,21.77%,-36.64%,0.546,14.58%,13.20%,8.07%,4.60%
名称查找失败(014855),N/A,N/A,N/A,N/A,N/A,014855,2022-04-22,2025-11-07,21.08%,35.11%,-46.34%,0.543,16.93%,12.86%,6.81%,5.73%
名称查找失败(015596),N/A,N/A,N/A,N/A,N/A,015596,2022-05-17,2025-11-07,15.06%,24.44%,-34.78%,0.534,13.42%,9.00%,5.36%,2.12%
名称查找失败(015577),N/A,N/A,N/A,N/A,N/A,015577,2022-05-13,2025-11-07,11.55%,18.81%,-22.91%,0.507,8.77%,6.23%,3.81%,2.76%
名称查找失败(015676),N/A,N/A,N/A,N/A,N/A,015676,2022-05-10,2025-11-07,16.18%,28.06%,-39.50%,0.505,15.32%,13.62%,10.61%,8.48%
名称查找失败(007794),N/A,N/A,N/A,N/A,N/A,007794,2019-08-08,2025-11-07,11.59%,19.53%,-38.59%,0.491,11.12%,10.28%,8.71%,6.54%
名称查找失败(007301),N/A,N/A,N/A,N/A,N/A,007301,2019-06-26,2025-11-07,18.19%,33.81%,-59.67%,0.479,18.62%,16.40%,12.80%,8.15%
名称查找失败(008327),N/A,N/A,N/A,N/A,N/A,008327,2020-01-20,2025-11-07,16.92%,31.87%,-42.38%,0.468,17.06%,15.83%,10.89%,7.74%
名称查找失败(015877),N/A,N/A,N/A,N/A,N/A,015877,2022-06-14,2025-11-07,14.89%,28.23%,-34.94%,0.457,15.99%,14.35%,11.40%,10.61%
名称查找失败(015895),N/A,N/A,N/A,N/A,N/A,015895,2022-07-19,2025-11-07,14.56%,28.12%,-36.46%,0.446,13.61%,14.80%,10.55%,9.08%
名称查找失败(012734),N/A,N/A,N/A,N/A,N/A,012734,2022-03-01,2025-11-07,16.12%,31.89%,-42.79%,0.443,17.17%,19.85%,14.78%,14.41%
名称查找失败(015788),N/A,N/A,N/A,N/A,N/A,015788,2022-09-26,2025-11-07,15.30%,30.10%,-44.30%,0.442,15.73%,13.63%,7.97%,7.16%
名称查找失败(012808),N/A,N/A,N/A,N/A,N/A,012808,2021-07-19,2025-11-07,12.02%,23.07%,-32.08%,0.434,10.37%,5.86%,3.62%,2.26%
