基金代码,基金名称,申购状态,赎回状态,定投状态,申购起点,定投起点,日累计申购限额,管理费率,托管费率,销售服务费率,赎回费率,页面链接
519771,交银优择回报灵活配置混合C,开放申购,,开放定投,未知,未知,未知,未知,未知,未知,0.00%,https://fundf10.eastmoney.com/jjfl_519771.html
519173,浦银安盛睿智精选混合C,开放申购,,开放定投,未知,未知,未知,未知,未知,未知,0.00%,https://fundf10.eastmoney.com/jjfl_519173.html
519022,国泰金泰灵活配置混合C,开放申购,,开放定投,未知,未知,未知,未知,未知,未知,0.00%,https://fundf10.eastmoney.com/jjfl_519022.html
501037,汇添富中证500指数,开放申购,,开放定投,未知,未知,未知,未知,未知,未知,0.00%,https://fundf10.eastmoney.com/jjfl_501037.html
167507,安信深圳科技指数,暂停申购,,暂停定投,未知,未知,未知,未知,未知,未知,0.00%,https://fundf10.eastmoney.com/jjfl_167507.html
