基金代码,基金简称,日增长率,近1周,近1月,近3月,近半年,近1年,近2年,近3年,今年来,成立来,十大重仓
009645,简称缺失,,,,,,,,,,,"[['胜宏科技', 9.5, 131.49, 37540.4], ['寒武纪', 9.05, 26.99, 35761.09], ['兆易创新', 8.36, 154.91, 33042.3], ['芯原股份', 7.67, 165.52, 30290.64], ['锐捷网络', 7.33, 323.88, 28958.0], ['瑞芯微', 6.91, 120.99, 27289.29], ['英维克', 6.57, 324.84, 25980.83], ['华丰科技', 6.4, 257.1, 25298.35], ['盛科通信', 6.27, 195.75, 24766.13], ['中科曙光', 6.0, 198.68, 23692.59]]"
018957,简称缺失,,,,,,,,,,,"[['英维克', 9.75, 1612.67, 128981.64], ['新易盛', 9.71, 351.4, 128531.29], ['中际旭创', 9.52, 312.16, 126013.72], ['胜宏科技', 9.18, 425.26, 121411.73], ['源杰科技', 9.05, 279.07, 119719.79], ['天孚通信', 8.85, 697.58, 117054.26], ['沪电股份', 5.52, 993.64, 73002.67], ['光库科技', 5.45, 606.69, 72074.32], ['德科立', 5.16, 564.45, 68310.17], ['东山精密', 5.06, 935.79, 66908.83]]"
020635,简称缺失,,,,,,,,,,,[]
021031,简称缺失,,,,,,,,,,,[]
020398,简称缺失,,,,,,,,,,,"[['康方生物', 8.69, 152.07, 19603.26], ['百济神州', 8.63, 103.94, 19471.79], ['信达生物', 8.53, 218.67, 19245.43], ['科伦博泰生物-B', 8.38, 40.27, 18897.57], ['翰森制药', 8.16, 558.86, 18398.94], ['映恩生物-B', 7.36, 50.05, 16614.57], ['恒瑞医药', 6.92, 192.52, 15608.1], ['诺诚健华', 4.6, 607.5, 10382.77], ['荣昌生物', 4.38, 92.26, 9871.66], ['中国生物制药', 4.18, 1267.46, 9419.31]]"
019514,简称缺失,,,,,,,,,,,"[['新易盛', 8.98, 18.44, 6744.8], ['寒武纪', 8.74, 4.95, 6564.98], ['中际旭创', 6.25, 11.64, 4698.79], ['工业富联', 5.59, 63.6, 4198.24], ['浙江荣泰', 5.18, 34.57, 3892.08], ['海光信息', 4.84, 14.4, 3636.78], ['胜宏科技', 4.83, 12.7, 3625.85], ['歌尔股份', 3.95, 79.1, 2966.25], ['ST华通', 3.69, 133.83, 2771.62], ['骄成超声', 3.55, 27.73, 2664.29]]"
015389,简称缺失,,,,,,,,,,,"[['新易盛', 7.95, 32.47, 11876.04], ['中际旭创', 7.64, 28.28, 11416.07], ['胜宏科技', 7.35, 38.49, 10988.9], ['天孚通信', 5.63, 50.12, 8410.74], ['隆盛科技', 4.97, 117.89, 7422.35], ['立讯精密', 4.63, 107.07, 6926.36], ['震裕科技', 4.46, 35.43, 6667.29], ['蓝思科技', 3.99, 178.02, 5960.11], ['巨人网络', 3.96, 130.97, 5917.22], ['工业富联', 3.91, 88.51, 5842.55]]"
020662,简称缺失,,,,,,,,,,,"[['新易盛', 8.84, 3.18, 1162.42], ['中际旭创', 8.78, 2.86, 1154.52], ['胜宏科技', 7.17, 3.3, 942.15], ['工业富联', 5.85, 11.66, 769.68], ['巨人网络', 5.37, 15.63, 706.16], ['阿里巴巴-W', 5.16, 4.2, 678.71], ['迈富时', 5.03, 13.81, 660.67], ['阅文集团', 4.91, 17.92, 645.92], ['天孚通信', 4.9, 3.84, 644.35], ['拓普集团', 4.47, 7.25, 587.18]]"
015290,简称缺失,,,,,,,,,,,"[['中国燃气', 7.15, 1015.72, 7086.55], ['中简科技', 7.06, 198.59, 7000.38], ['视源股份', 5.49, 136.76, 5443.19], ['力诺药包', 5.45, 314.33, 5409.58], ['东方雨虹', 5.37, 432.7, 5330.84], ['申洲国际', 5.17, 90.77, 5123.67], ['美埃科技', 5.01, 97.85, 4970.54], ['中国东方教育', 4.26, 604.2, 4226.49], ['敏实集团', 4.0, 128.0, 3963.6], ['思维列控', 3.97, 117.56, 3938.14]]"
015857,简称缺失,,,,,,,,,,,"[['海目星', 8.42, 5.02, 211.09], ['中简科技', 8.14, 5.79, 204.1], ['凯赛生物', 8.07, 3.89, 202.44], ['华恒生物', 7.79, 5.8, 195.46], ['联赢激光', 7.69, 7.26, 192.75], ['中国燃气', 7.49, 26.94, 187.96], ['炬光科技', 7.49, 1.23, 187.78], ['杭可科技', 7.2, 4.94, 180.62], ['英诺激光', 7.07, 4.49, 177.27], ['ST逸飞', 6.85, 5.3, 171.83]]"
