基金代码,基金名称,基金管理人,基金经理,成立日期,基金托管人,更新时间
011609,易方达上证科创50联接C,N/A,林伟斌,N/A,N/A,2025-11-07 18:36:02
007665,永赢创业板指数发起式C,N/A,刘庭宇,N/A,N/A,2025-11-07 18:36:02
012734,易方达中证人工智能主题ETF联接C,N/A,张湛,N/A,N/A,2025-11-07 18:36:02
007029,易方达中证500ETF联接发起式C,N/A,余海燕,N/A,N/A,2025-11-07 18:36:02
011965,泰康中证500ETF联接C,N/A,魏军,N/A,N/A,2025-11-07 18:36:02
008001,鹏华中证500ETF联接C,N/A,陈龙,N/A,N/A,2025-11-07 18:36:03
013277,富国创业板ETF联接C,N/A,曹璐迪,N/A,N/A,2025-11-07 18:36:03
011613,华夏科创50ETF联接C,N/A,荣膺,N/A,N/A,2025-11-07 18:36:03
004744,易方达创业板ETF联接C,N/A,成曦,N/A,N/A,2025-11-07 18:36:03
001593,天弘创业板ETF联接C,N/A,林心龙,N/A,N/A,2025-11-07 18:36:03
012718,易方达中证科技50ETF联接C,N/A,张湛,N/A,N/A,2025-11-07 18:36:04
070039,嘉实中证500ETF联接C,N/A,何如,N/A,N/A,2025-11-07 18:36:05
006382,华夏中证500ETF联接C,N/A,荣膺,N/A,N/A,2025-11-07 18:36:05
013305,易方达中证科创创业50联接C,N/A,伍臣东,N/A,N/A,2025-11-07 18:36:04
004348,南方中证500ETF联接,N/A,罗文杰,N/A,N/A,2025-11-07 18:36:05
014662,天弘上海金ETF发起联接C,N/A,沙川,N/A,N/A,2025-11-07 18:36:06
012899,兴银中证科创创业50指数C,N/A,林学晨,N/A,N/A,2025-11-07 18:36:06
006215,平安500ETF联接C,N/A,李严,N/A,N/A,2025-11-07 18:36:06
011036,嘉实中证稀土产业ETF联接C,N/A,田光远,N/A,N/A,2025-11-07 18:36:06
013894,国联安上证科创50ETF联接C,N/A,黄欣,N/A,N/A,2025-11-07 18:36:06
007223,工银中证500ETF联接C,N/A,刘子豪,N/A,N/A,2025-11-07 18:36:07
007816,嘉实新兴科技100ETF联接C,N/A,尚可,N/A,N/A,2025-11-07 18:36:07
014777,富国中证芯片产业ETF发起式联接C,N/A,张圣贤,N/A,N/A,2025-11-07 18:36:07
012553,天弘芯片产业ETF联接C,N/A,洪明华,N/A,N/A,2025-11-07 18:36:07
