基金代码,最新净值,成本净值,收益率(%),RSI,MACD信号,布林位置,大盘趋势,**最终决策**,移动止盈价(8%回撤),绝对止损价(-20%),绝对止损价(-15%),绝对止损价(-10%),短期回撤止损价(10%回撤)
004846,1.4045,1.372,2.37,46.42,死叉,中轨,弱势,因移动止盈卖出,1.5949,1.0976,1.1662,1.2348,-
007771,1.1677,0.9731,20.0,29.38,死叉,中轨,弱势,因移动止盈卖出,1.1687,0.7785,0.8271,0.8758,-
023853,2.1524,1.7966,19.8,18.84,死叉,中轨,弱势,因ADX趋势转弱减仓50%,2.1464,1.4373,1.5271,1.6169,-
015456,1.7609,1.7413,1.13,54.33,死叉,中轨,弱势,卖10%,1.7523,1.393,1.4801,1.5672,1.7142
017484,2.1008,1.7515,19.94,21.71,死叉,中轨,弱势,因ADX趋势转弱减仓50%,2.0969,1.4012,1.4888,1.5764,-
005312,2.018,2.0907,-3.48,47.63,死叉,中轨,弱势,因移动止盈卖出,2.4303,1.6726,1.7771,1.8816,-
023098,1.7523,1.4651,19.6,22.68,死叉,中轨,弱势,因移动止盈卖出,1.7563,1.1721,1.2453,1.3186,-
005118,1.8799,1.5667,19.99,21.82,死叉,中轨,弱势,因移动止盈卖出,1.8805,1.2534,1.3317,1.41,-
015916,2.15,1.7898,20.13,24.08,死叉,中轨,弱势,因ADX趋势转弱减仓50%,2.144,1.4318,1.5213,1.6108,-
011372,0.8594,0.7121,20.69,34.1,死叉,中轨,弱势,因ADX趋势转弱减仓50%,0.8549,0.5697,0.6053,0.6409,-
