,基金代码,基金简称,日增长率,近1周,近1月,近3月,近半年,近1年,近2年,近3年,今年来,成立来
156,004237,,,,,,,,,,,
157,004235,,,,,,,,,,,
158,004195,,,,,,,,,,,
159,003766,,,,,,,,,,,
160,003305,,,,,,,,,,,
161,002207,,,,,,,,,,,
162,002170,,,,,,,,,,,
163,002112,,,,,,,,,,,
164,002096,,,,,,,,,,,
165,002052,,,,,,,,,,,
166,002036,,,,,,,,,,,
167,001770,,,,,,,,,,,
168,001618,,,,,,,,,,,
169,001593,,,,,,,,,,,
170,001557,,,,,,,,,,,
171,001407,,,,,,,,,,,
172,001301,,,,,,,,,,,
