date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-07-14,008989,未知品种,1,3,正常,-21.95,39.1,-1.32,5.4162
2026-07-14,001301,未知品种,1,38,正常,-32.1,39.47,0.05,2.617
2026-07-14,008182,未知品种,3,2,✅高胜率区,-23.53,11.12,-4.44,0.9342
2026-07-14,015642,未知品种,7,2,🔥极高胜率(背离),-22.55,20.41,-6.66,1.7491
2026-07-14,018558,未知品种,1,55,正常,-26.15,38.61,1.16,1.1221
2026-07-14,014662,未知品种,3,40,✅高胜率区,-29.65,0.47,-1.68,1.9565
2026-07-14,011117,未知品种,1,27,正常,-23.47,47.81,-0.2,2.0273
2026-07-14,004235,未知品种,1,20,正常,-21.91,37.95,0.69,4.0367
2026-07-14,014243,未知品种,3,3,✅高胜率区,-23.2,21.21,-2.75,1.9066
2026-07-14,019599,未知品种,1,55,正常,-26.22,40.48,1.3,1.0548
2026-07-14,020398,未知品种,1,45,正常,-28.46,38.79,1.01,1.4577
2026-07-13,012922,未知品种,5,1,🔥极高胜率(背离),-20.66,25.17,-4.95,4.1844
2026-07-14,021031,未知品种,1,55,正常,-30.0,35.75,1.01,1.5562
2026-07-14,011068,未知品种,1,16,正常,-29.91,36.4,1.55,4.891
2026-07-14,013466,未知品种,3,3,✅高胜率区,-22.03,16.36,-4.0,1.1434
2026-07-14,003305,未知品种,3,5,✅高胜率区,-23.32,28.17,-0.37,5.119
2026-07-14,010827,未知品种,1,41,正常,-36.15,37.27,1.13,1.9263
2026-07-14,009505,未知品种,3,34,✅高胜率区,-29.15,0.34,-1.67,1.8462
2026-07-14,001770,未知品种,3,5,✅高胜率区,-25.43,17.0,-3.68,2.032
2026-07-14,016068,未知品种,3,7,✅高胜率区,-34.01,5.44,-4.74,1.0522
2026-07-13,006328,未知品种,1,96,🚩高风险(陷阱),-35.97,88.37,1.34,0.8336
2026-07-14,021674,未知品种,1,65,正常,-40.33,46.43,2.15,1.2538
2026-07-14,018168,未知品种,1,16,正常,-30.03,34.12,0.98,1.6805
2026-07-14,009034,未知品种,3,35,✅高胜率区,-29.28,1.2,-1.67,2.0281
2026-07-14,020635,未知品种,1,55,正常,-25.44,39.4,1.28,1.4965
2026-07-14,013010,未知品种,1,3,正常,-21.38,40.7,-0.35,0.9337
2026-07-14,016708,未知品种,1,16,正常,-30.98,35.09,1.07,1.6378
2026-07-14,011036,未知品种,3,2,✅高胜率区,-22.67,14.16,-3.65,1.2101
2026-07-14,009478,未知品种,3,34,✅高胜率区,-28.43,0.0,-1.58,1.9503
2026-07-14,008987,未知品种,3,35,✅高胜率区,-29.44,0.97,-1.71,1.847
2026-07-14,012729,未知品种,1,45,正常,-35.66,34.97,-3.32,1.1368
2026-07-13,011584,未知品种,1,41,正常,-32.03,45.05,-0.43,0.9245
2026-07-14,004433,未知品种,1,16,正常,-30.03,34.9,1.15,1.6973
2026-07-14,016616,未知品种,3,2,✅高胜率区,-21.63,10.03,-4.38,3.8467
2026-07-14,004815,未知品种,1,6,正常,-20.41,39.65,1.09,1.8285
2026-07-14,015857,未知品种,3,4,✅高胜率区,-22.65,8.53,-2.29,1.4569
2026-07-14,002207,未知品种,1,83,正常,-40.18,43.32,1.31,2.372
