date,net_value,equity_return,unit_money
2022-06-15,1.0,0.0,
2022-06-16,1.0,0.0,
2022-06-21,0.9985,0.0,
2022-06-22,1.0003,0.18,
2022-06-23,1.0025,0.22,
2022-06-26,1.006,0.35,
2022-06-27,1.0126,0.66,
2022-06-28,1.0057,-0.68,
2022-06-29,1.0138,0.81,
2022-06-30,1.012,-0.18,
2022-07-03,1.0099,-0.21,
2022-07-04,1.0059,-0.4,
2022-07-05,1.0043,-0.16,
2022-07-06,1.0075,0.32,
2022-07-07,1.005,-0.25,
2022-07-10,0.9986,-0.64,
2022-07-11,0.9954,-0.32,
2022-07-12,0.9943,-0.11,
2022-07-13,0.9979,0.36,
2022-07-14,0.9963,-0.16,
2022-07-17,1.0008,0.45,
2022-07-18,1.0035,0.27,
2022-07-19,1.0078,0.43,
2022-07-20,1.009,0.12,
2022-07-21,1.0012,-0.77,
2022-07-24,0.9955,-0.57,
2022-07-25,1.001,0.55,
2022-07-26,1.0043,0.33,
2022-07-27,1.0065,0.22,
2022-07-28,1.0046,-0.19,
2022-07-31,1.0149,1.03,
2022-08-01,1.0092,-0.56,
2022-08-02,1.0055,-0.37,
2022-08-03,1.0066,0.11,
2022-08-04,1.021,1.43,
2022-08-07,1.0243,0.32,
2022-08-08,1.0307,0.62,
2022-08-09,1.0339,0.31,
2022-08-10,1.0358,0.18,
2022-08-11,1.0195,-1.57,
2022-08-14,1.024,0.44,
2022-08-15,1.0275,0.34,
2022-08-16,1.0328,0.52,
2022-08-17,1.0385,0.55,
2022-08-18,1.0278,-1.03,
2022-08-21,1.0368,0.88,
2022-08-22,1.0423,0.53,
2022-08-23,1.0173,-2.4,
2022-08-24,1.0091,-0.81,
2022-08-25,1.0071,-0.2,
2022-08-28,1.0113,0.42,
2022-08-29,1.0114,0.01,
2022-08-30,1.0005,-1.08,
2022-08-31,0.9988,-0.17,
2022-09-01,0.9999,0.11,
2022-09-04,1.0023,0.24,
2022-09-05,1.0029,0.06,
2022-09-06,1.0091,0.62,
2022-09-07,1.0011,-0.79,
2022-09-08,0.9988,-0.23,
2022-09-12,1.0035,0.47,
2022-09-13,0.9987,-0.48,
2022-09-14,0.9755,-2.32,
2022-09-15,0.9756,0.01,
2022-09-18,0.9719,-0.38,
2022-09-19,0.9807,0.91,
2022-09-20,0.9699,-1.1,
2022-09-21,0.9756,0.59,
2022-09-22,0.9592,-1.68,
2022-09-25,0.9733,1.47,
2022-09-26,0.9898,1.7,
2022-09-27,0.9777,-1.22,
2022-09-28,0.9808,0.32,
2022-09-29,0.9642,-1.69,
2022-10-09,0.9462,-1.87,
2022-10-10,0.9421,-0.43,
2022-10-11,0.953,1.16,
2022-10-12,0.961,0.84,
2022-10-13,0.9735,1.3,
2022-10-16,0.9799,0.66,
2022-10-17,0.9823,0.24,
2022-10-18,0.97,-1.25,
2022-10-19,0.9717,0.18,
2022-10-20,0.9688,-0.3,
2022-10-23,0.9565,-1.27,
2022-10-24,0.95,-0.68,
2022-10-25,0.9643,1.51,
2022-10-26,0.9425,-2.26,
2022-10-27,0.9263,-1.72,
2022-10-30,0.9297,0.37,
2022-10-31,0.9464,1.8,
2022-11-01,0.9645,1.91,
2022-11-02,0.9765,1.24,
2022-11-03,0.996,2.0,
2022-11-06,0.9943,-0.17,
2022-11-07,0.9847,-0.97,
2022-11-08,0.9699,-1.5,
2022-11-09,0.9546,-1.58,
2022-11-10,0.9682,1.42,
2022-11-13,0.9584,-1.01,
2022-11-14,0.9793,2.18,
2022-11-15,0.9708,-0.87,
2022-11-16,0.9665,-0.44,
2022-11-17,0.9633,-0.33,
2022-11-20,0.9553,-0.83,
2022-11-21,0.9455,-1.03,
2022-11-22,0.952,0.69,
2022-11-23,0.9608,0.92,
2022-11-24,0.9452,-1.62,
2022-11-27,0.9474,0.23,
2022-11-28,0.9567,0.98,
2022-11-29,0.9632,0.68,
2022-11-30,0.9769,1.42,
2022-12-01,0.9805,0.37,
2022-12-04,0.9761,-0.45,
2022-12-05,0.9877,1.19,
2022-12-06,0.9895,0.18,
2022-12-07,0.9923,0.28,
2022-12-08,0.9976,0.53,
2022-12-11,0.9925,-0.51,
2022-12-12,0.9817,-1.09,
2022-12-13,0.9807,-0.1,
2022-12-14,0.9902,0.97,
2022-12-15,0.9676,-2.28,
2022-12-18,0.9598,-0.81,
2022-12-19,0.9537,-0.64,
2022-12-20,0.9426,-1.16,
2022-12-21,0.9371,-0.58,
2022-12-22,0.9196,-1.87,
2022-12-25,0.9443,2.69,
2022-12-26,0.9598,1.64,
2022-12-27,0.9595,-0.03,
2022-12-28,0.9582,-0.14,
2022-12-29,0.953,-0.54,
2022-12-30,0.953,0.0,
2023-01-02,0.9698,1.76,
2023-01-03,0.9652,-0.47,
2023-01-04,0.9904,2.61,
2023-01-05,0.9954,0.5,
2023-01-08,1.0035,0.81,
2023-01-09,1.0063,0.28,
2023-01-10,0.9911,-1.51,
2023-01-11,0.9853,-0.59,
2023-01-12,0.9932,0.8,
2023-01-15,0.9992,0.6,
2023-01-16,0.9997,0.05,
2023-01-17,1.0025,0.28,
2023-01-18,1.0047,0.22,
2023-01-19,1.0073,0.26,
2023-01-29,1.0127,0.54,
2023-01-30,1.0081,-0.45,
2023-01-31,1.0192,1.1,
2023-02-01,1.0258,0.65,
2023-02-02,1.0213,-0.44,
2023-02-05,1.0073,-1.37,
2023-02-06,1.0075,0.02,
2023-02-07,0.9978,-0.96,
2023-02-08,1.0146,1.68,
2023-02-09,1.0094,-0.51,
2023-02-12,1.0313,2.17,
2023-02-13,1.0316,0.03,
2023-02-14,1.0325,0.09,
2023-02-15,1.0207,-1.14,
2023-02-16,1.0076,-1.28,
2023-02-19,1.0168,0.91,
2023-02-20,1.0093,-0.74,
2023-02-21,1.0058,-0.35,
2023-02-22,1.0038,-0.2,
