date,net_value,equity_return,unit_money
2022-05-11,0.7634,0.0,
2022-05-12,0.7686,0.68,
2022-05-15,0.7598,-1.14,
2022-05-16,0.7662,0.84,
2022-05-17,0.7622,-0.52,
2022-05-18,0.753,-1.21,
2022-05-19,0.7733,2.7,
2022-05-22,0.7596,-1.77,
2022-05-23,0.7441,-2.04,
2022-05-24,0.7437,-0.05,
2022-05-25,0.7413,-0.32,
2022-05-26,0.7486,0.98,
2022-05-29,0.7643,2.1,
2022-05-30,0.7821,2.33,
2022-05-31,0.778,-0.52,
2022-06-01,0.771,-0.9,
2022-06-05,0.7834,1.61,
2022-06-06,0.7952,1.51,
2022-06-07,0.8095,1.8,
2022-06-08,0.7944,-1.87,
2022-06-09,0.7997,0.67,
2022-06-12,0.7836,-2.01,
2022-06-13,0.788,0.56,
2022-06-14,0.7972,1.17,
2022-06-15,0.7939,-0.41,
2022-06-16,0.8085,1.84,
2022-06-19,0.8211,1.56,
2022-06-20,0.8214,0.04,
2022-06-21,0.81,-1.39,
2022-06-22,0.8154,0.67,
2022-06-23,0.8295,1.73,
2022-06-26,0.8466,2.06,
2022-06-27,0.8498,0.38,
2022-06-28,0.8437,-0.72,
2022-06-29,0.8664,2.69,
2022-06-30,0.8593,-0.82,
2022-07-03,0.8706,1.32,
2022-07-04,0.8686,-0.23,
2022-07-05,0.8525,-1.85,
2022-07-06,0.8469,-0.66,
2022-07-07,0.8468,-0.01,
2022-07-10,0.8344,-1.46,
2022-07-11,0.8265,-0.95,
2022-07-12,0.8285,0.24,
2022-07-13,0.8314,0.35,
2022-07-14,0.8221,-1.12,
2022-07-17,0.8242,0.26,
2022-07-18,0.8212,-0.36,
2022-07-19,0.8285,0.89,
2022-07-20,0.8229,-0.68,
2022-07-21,0.8212,-0.21,
2022-07-24,0.821,-0.02,
2022-07-25,0.8259,0.6,
2022-07-26,0.8156,-1.25,
2022-07-27,0.8118,-0.47,
2022-07-28,0.7972,-1.8,
2022-07-31,0.797,-0.03,
2022-08-01,0.7852,-1.48,
2022-08-02,0.7818,-0.43,
2022-08-03,0.7886,0.87,
2022-08-04,0.7966,1.01,
2022-08-07,0.7899,-0.84,
2022-08-08,0.7873,-0.33,
2022-08-09,0.7759,-1.45,
2022-08-10,0.7931,2.22,
2022-08-11,0.7973,0.53,
2022-08-14,0.7878,-1.19,
2022-08-15,0.7824,-0.69,
2022-08-16,0.787,0.59,
2022-08-17,0.7788,-1.04,
2022-08-18,0.7797,0.12,
2022-08-21,0.7853,0.72,
2022-08-22,0.7773,-1.02,
2022-08-23,0.7701,-0.93,
2022-08-24,0.7825,1.61,
2022-08-25,0.7861,0.46,
2022-08-28,0.7817,-0.56,
2022-08-29,0.7805,-0.15,
2022-08-30,0.7921,1.49,
2022-08-31,0.783,-1.15,
2022-09-01,0.7754,-0.97,
2022-09-04,0.7652,-1.32,
2022-09-05,0.7665,0.17,
2022-09-06,0.7615,-0.65,
2022-09-07,0.7621,0.08,
2022-09-08,0.7778,2.06,
2022-09-12,0.78,0.28,
2022-09-13,0.7744,-0.72,
2022-09-14,0.7754,0.13,
2022-09-15,0.763,-1.6,
2022-09-18,0.7622,-0.1,
2022-09-19,0.7646,0.31,
2022-09-20,0.7496,-1.96,
2022-09-21,0.7403,-1.24,
2022-09-22,0.7378,-0.34,
2022-09-25,0.7465,1.18,
2022-09-26,0.7647,2.44,
2022-09-27,0.7609,-0.5,
2022-09-28,0.762,0.14,
2022-09-29,0.7587,-0.43,
2022-10-09,0.7346,-3.18,
2022-10-10,0.7337,-0.12,
2022-10-11,0.733,-0.1,
2022-10-12,0.7301,-0.4,
2022-10-13,0.7528,3.11,
2022-10-16,0.7499,-0.39,
2022-10-17,0.7519,0.27,
2022-10-18,0.7322,-2.62,
2022-10-19,0.7313,-0.12,
2022-10-20,0.722,-1.27,
2022-10-23,0.6947,-3.78,
2022-10-24,0.6913,-0.49,
2022-10-25,0.6999,1.24,
2022-10-26,0.6882,-1.67,
2022-10-27,0.6763,-1.73,
2022-10-30,0.6695,-1.01,
2022-10-31,0.7038,5.12,
2022-11-01,0.7133,1.35,
2022-11-02,0.7049,-1.18,
2022-11-03,0.7285,3.35,
2022-11-06,0.7326,0.56,
2022-11-07,0.7244,-1.12,
