date,net_value,equity_return,unit_money
2016-12-25,1.0,0.0,
2016-12-29,1.0,0.0,
2016-12-30,1.001,0.1,
2017-01-05,1.001,0.0,
2017-01-12,1.002,0.0,
2017-01-19,1.003,0.0,
2017-01-25,1.003,0.0,
2017-02-02,1.004,0.0997,
2017-02-09,1.005,0.0,
2017-02-14,1.005,0.0,
2017-02-15,1.005,0.0,
2017-02-16,1.005,0.0,
2017-02-19,1.006,0.0995,
2017-02-20,1.006,0.0,
2017-02-21,1.006,0.0,
2017-02-22,1.006,0.0,
2017-02-23,1.006,0.0,
2017-02-26,1.006,0.0,
2017-02-27,1.006,0.0,
2017-02-28,1.006,0.0,
2017-03-01,1.007,0.0994,
2017-03-02,1.007,0.0,
2017-03-05,1.007,0.0,
2017-03-06,1.007,0.0,
2017-03-07,1.007,0.0,
2017-03-08,1.007,0.0,
2017-03-09,1.007,0.0,
2017-03-12,1.007,0.0,
2017-03-13,1.007,0.0,
2017-03-14,1.007,0.0,
2017-03-15,1.007,0.0,
2017-03-16,1.007,0.0,
2017-03-19,1.007,0.0,
2017-03-20,1.007,0.0,
2017-03-21,1.007,0.0,
2017-03-22,1.007,0.0,
2017-03-23,1.008,0.0993,
2017-03-26,1.008,0.0,
2017-03-27,1.008,0.0,
2017-03-28,1.008,0.0,
2017-03-29,1.008,0.0,
2017-03-30,1.009,0.0992,
2017-04-04,1.012,0.2973,
2017-04-05,1.012,0.0,
2017-04-06,1.012,0.0,
2017-04-09,1.013,0.0988,
2017-04-10,1.013,0.0,
2017-04-11,1.013,0.0,
2017-04-12,1.014,0.0987,
2017-04-13,1.012,-0.1972,
2017-04-16,1.011,-0.0988,
2017-04-17,1.01,-0.0989,
2017-04-18,1.009,-0.099,
2017-04-19,1.008,-0.0991,
2017-04-20,1.008,0.0,
2017-04-23,1.004,-0.3968,
2017-04-24,1.005,0.0996,
2017-04-25,1.004,-0.0995,
2017-04-26,1.005,0.0996,
2017-04-27,1.007,0.199,
2017-05-01,1.007,0.0,
2017-05-02,1.007,0.0,
2017-05-03,1.007,0.0,
2017-05-04,1.005,-0.1986,
2017-05-07,1.003,-0.199,
