date,net_value,equity_return,unit_money
2024-02-05,1.0,0.0,
2024-02-07,0.9999,0.0,
2024-02-22,0.9995,0.0,
2024-02-29,0.9994,0.0,
2024-03-04,0.9992,0.0,
2024-03-05,0.9992,0.0,
2024-03-06,1.0028,0.36,
2024-03-07,1.0043,0.15,
2024-03-10,1.0041,-0.02,
2024-03-11,1.0052,0.11,
2024-03-12,1.0104,0.52,
2024-03-13,1.0062,-0.42,
2024-03-14,1.0076,0.14,
2024-03-17,1.0102,0.26,
2024-03-18,1.0155,0.52,
2024-03-19,1.0229,0.73,
2024-03-20,1.0193,-0.35,
2024-03-21,1.0169,-0.24,
2024-03-24,0.9931,-2.34,
2024-03-25,0.989,-0.41,
2024-03-26,0.9707,-1.85,
2024-03-27,0.9838,1.35,
2024-03-28,0.9904,0.67,
2024-03-31,0.9994,0.91,
2024-04-01,0.9891,-1.03,
2024-04-02,0.9808,-0.84,
2024-04-07,0.9683,-1.27,
2024-04-08,0.9759,0.78,
2024-04-09,0.9621,-1.41,
2024-04-10,0.9562,-0.61,
2024-04-11,0.953,-0.33,
2024-04-14,0.9532,0.02,
2024-04-15,0.9332,-2.1,
2024-04-16,0.9534,2.16,
2024-04-17,0.952,-0.15,
2024-04-18,0.95,-0.21,
2024-04-21,0.9529,0.31,
2024-04-22,0.959,0.64,
2024-04-23,0.9757,1.74,
2024-04-24,0.9678,-0.81,
2024-04-25,0.9861,1.89,
2024-04-28,1.0093,2.35,
2024-04-29,1.0015,-0.77,
2024-05-05,1.0385,3.69,
2024-05-06,1.0393,0.08,
2024-05-07,1.0212,-1.74,
2024-05-08,1.0469,2.52,
2024-05-09,1.0335,-1.28,
2024-05-12,1.0275,-0.58,
2024-05-13,1.0271,-0.04,
2024-05-14,1.0199,-0.7,
2024-05-15,1.0244,0.44,
2024-05-16,1.0362,1.15,
2024-05-19,1.0444,0.79,
2024-05-20,1.025,-1.86,
2024-05-21,1.0286,0.35,
2024-05-22,1.0135,-1.47,
2024-05-23,0.9916,-2.16,
2024-05-26,1.0056,1.41,
2024-05-27,0.9969,-0.87,
2024-05-28,0.9903,-0.66,
2024-05-29,0.9916,0.13,
2024-05-30,0.9982,0.67,
2024-06-02,1.0043,0.61,
2024-06-03,1.012,0.77,
2024-06-04,1.0136,0.16,
2024-06-05,1.0027,-1.08,
2024-06-06,0.996,-0.67,
2024-06-10,1.0069,1.09,
2024-06-11,0.9993,-0.75,
2024-06-12,1.0104,1.11,
2024-06-13,1.0032,-0.71,
2024-06-16,1.0011,-0.21,
2024-06-17,1.0064,0.53,
2024-06-18,1.0034,-0.3,
2024-06-19,0.997,-0.64,
2024-06-20,0.9931,-0.39,
2024-06-23,0.9733,-1.99,
2024-06-24,0.9633,-1.03,
2024-06-25,0.9831,2.06,
2024-06-26,0.9681,-1.53,
2024-06-27,0.969,0.09,
2024-06-29,0.9689,-0.01,
2024-06-30,0.9668,-0.22,
2024-07-01,0.9593,-0.78,
2024-07-02,0.9596,0.03,
2024-07-03,0.955,-0.48,
2024-07-04,0.9578,0.29,
2024-07-07,0.9406,-1.8,
2024-07-08,0.958,1.85,
2024-07-09,0.9687,1.12,
2024-07-10,0.9884,2.03,
2024-07-11,0.9965,0.82,
2024-07-14,0.9868,-0.97,
2024-07-15,0.9897,0.29,
2024-07-16,0.9808,-0.9,
2024-07-17,0.9841,0.34,
2024-07-18,0.9869,0.28,
2024-07-21,0.9975,1.07,
2024-07-22,0.9679,-2.97,
2024-07-23,0.9563,-1.2,
2024-07-24,0.9514,-0.51,
2024-07-25,0.9633,1.25,
2024-07-28,0.9581,-0.54,
2024-07-29,0.9543,-0.4,
2024-07-30,0.985,3.22,
2024-07-31,0.9814,-0.37,
2024-08-01,0.9636,-1.81,
2024-08-04,0.9373,-2.73,
2024-08-05,0.9451,0.83,
2024-08-06,0.9418,-0.35,
2024-08-07,0.9343,-0.8,
2024-08-08,0.9287,-0.6,
2024-08-11,0.9238,-0.53,
2024-08-12,0.9286,0.52,
2024-08-13,0.9162,-1.34,
2024-08-14,0.9179,0.19,
2024-08-15,0.9164,-0.16,
2024-08-18,0.9187,0.25,
2024-08-19,0.9064,-1.34,
2024-08-20,0.9024,-0.44,
2024-08-21,0.9003,-0.23,
2024-08-22,0.9029,0.29,
2024-08-25,0.9048,0.21,
2024-08-26,0.9011,-0.41,
2024-08-27,0.9003,-0.09,
2024-08-28,0.9137,1.49,
2024-08-29,0.9327,2.08,
2024-09-01,0.9099,-2.44,
2024-09-02,0.9219,1.32,
2024-09-03,0.9195,-0.26,
2024-09-04,0.922,0.27,
2024-09-05,0.9118,-1.11,
2024-09-08,0.9083,-0.38,
2024-09-09,0.9155,0.79,
2024-09-10,0.9246,0.99,
2024-09-11,0.9218,-0.3,
2024-09-12,0.9115,-1.12,
2024-09-17,0.9131,0.18,
2024-09-18,0.9217,0.94,
2024-09-19,0.9247,0.33,
2024-09-22,0.9219,-0.3,
2024-09-23,0.9471,2.73,
2024-09-24,0.9539,0.72,
2024-09-25,0.9887,3.65,
2024-09-26,1.0549,6.7,
2024-09-29,1.1816,12.01,
2024-10-07,1.3074,10.65,
2024-10-08,1.2351,-5.53,
2024-10-09,1.2334,-0.14,
2024-10-10,1.1953,-3.09,
2024-10-13,1.2016,0.53,
2024-10-14,1.1678,-2.81,
2024-10-15,1.1694,0.14,
2024-10-16,1.1571,-1.05,
2024-10-17,1.2064,4.26,
2024-10-20,1.2047,-0.14,
2024-10-21,1.2087,0.33,
2024-10-22,1.2211,1.03,
2024-10-23,1.1995,-1.77,
2024-10-24,1.2107,0.93,
2024-10-27,1.2082,-0.21,
2024-10-28,1.1907,-1.45,
2024-10-29,1.1783,-1.04,
2024-10-30,1.1779,-0.03,
2024-10-31,1.1817,0.32,
2024-11-03,1.21,2.39,
2024-11-04,1.2408,2.55,
2024-11-05,1.2327,-0.65,
2024-11-06,1.2666,2.75,
2024-11-07,1.2687,0.17,
2024-11-10,1.2855,1.32,
2024-11-11,1.2629,-1.76,
2024-11-12,1.2649,0.16,
2024-11-13,1.2315,-2.64,
2024-11-14,1.2085,-1.87,
2024-11-17,1.1992,-0.77,
2024-11-18,1.2181,1.58,
2024-11-19,1.2228,0.39,
2024-11-20,1.217,-0.47,
2024-11-21,1.1799,-3.05,
2024-11-24,1.1808,0.08,
2024-11-25,1.1718,-0.76,
2024-11-26,1.2044,2.78,
2024-11-27,1.1914,-1.08,
2024-11-28,1.1992,0.65,
2024-12-01,1.2125,1.11,
2024-12-02,1.2087,-0.31,
2024-12-03,1.197,-0.97,
2024-12-04,1.1923,-0.39,
2024-12-05,1.2116,1.62,
2024-12-08,1.2313,1.63,
2024-12-09,1.2405,0.75,
2024-12-10,1.2457,0.42,
2024-12-11,1.2548,0.73,
2024-12-12,1.2286,-2.09,
2024-12-15,1.207,-1.76,
2024-12-16,1.201,-0.5,
2024-12-17,1.2209,1.66,
2024-12-18,1.2198,-0.09,
2024-12-19,1.2231,0.27,
2024-12-22,1.2098,-1.09,
2024-12-23,1.2242,1.19,
2024-12-24,1.2178,-0.52,
2024-12-25,1.2255,0.63,
2024-12-26,1.224,-0.12,
2024-12-29,1.2258,0.15,
2024-12-30,1.2029,-1.87,
2025-01-01,1.1646,-3.18,
2025-01-02,1.1609,-0.32,
2025-01-05,1.1565,-0.38,
2025-01-06,1.1619,0.47,
2025-01-07,1.1499,-1.03,
2025-01-08,1.1558,0.51,
2025-01-09,1.144,-1.02,
2025-01-12,1.1421,-0.17,
